The Bishop of Borglum and His Warriors

'their': THAEUR
'journey': SKWRURPB
'and': SKP
'the': -T
'place': PHRAEUS
'whence': WHEPBS
'they': THE
'came.': KAEUPL/TP-PL
'Then': KPA/THEPB
'one': WUPB
'of': -F
'them': THEPL
'mentioned': PHEPBGS/-D
'Thyland': KPA/THAO*EU/HRA*PBD
'in': TPH
'Denmark,': TKEPB/PHARBG/KW-BG
'and': SKP
'spoke': SPOEBG
'of': -F
'her': HER
'sorrows,': SROE/-S/KW-BG
'of': -F
'her': HER
'woes,': WOE/-S/KW-BG
'which': WEU
'were': WR
'soon': SAOPB
'to': TO
'cease,': SAOES/KW-BG
'for': TPOR
'so': SO
'Divine': KPA/TKWAOEUPB
'Providence': KPA/PROF/TKEPBS
'had': H
'willed': HR-D
'it.': T/TP-PL
'For': KPA/TPOR
'the': -T
'stranger': STRAEURPBG
'knight': TPHAO*EUT
'is': S
'the': -T
'widow's': WO*EUD/AES
'son!': SOPB/SKHRAPL
'He': KPA/HE
'seized': SAOEZ/-D
'her': HER
'hand,': HAPBD/KW-BG
'he': HE
'embraced': EPL/PWRAEUFD
'her,': HER/KW-BG
'and': SKP
'the': -T
'mother': PHOER
'wept.': WEPT/TP-PL
'For': KPA/TPOR
'years': KWRAOERS
'she': SHE
'had': H
'not': TPHOT
'been': PW-PB
'able': ABL
'to': TO
'weep,': WAOEP/KW-BG
'but': PWUT
'had': H
'only': OEPBL
'bitten': PWEUT/-PB
'her': HER
'lips': HREUPS
'till': TEUL
'the': -T
'blood': PWHRAOD
'started.': STARTD/TP-PL
'It': KPA/T
'is': S
'the': -T
'time': TAOEUPL
'of': -F
'falling': TPAULG
'leaves': HREFS
'and': SKP
'of': -F
'stranded': STRAPBD/-D
'ships,': SHEUPS/KW-BG
'and': SKP
'soon': SAOPB
'will': HR
'icy': AOEU/SEU
'winter': WEURPBT
'come.': KOPL/TP-PL
'The': KPA/-T
'sea': SAE
'rolled': ROLD
'wine-tubs': WAOEUPB/H-PB/TUBS
'to': TO
'the': -T
'shore': SHOR
'for': TPOR
'the': -T
'bishop's': PWEURB/OP/AES
'cellar.': SEL/AR/TP-PL
'In': KPA/TPH
'the': -T
'kitchen': K-FP
'the': -T
'deer': TKAOER
'roasted': ROEFT/-D
'on': OPB
'the': -T
'spit': SPEUT
'before': PW-FR
'the': -T
'fire.': TPAOEUR/TP-PL
'At': KPA/AT
'Borglum': PW*P/O*/R*/TKPW*/HR*/*UPL
'it': T
'was': WAS
'warm': WARPL
'and': SKP
'cheerful': KHAOER/-FL
'in': TPH
'the': -T
'heated': HAOET/-D
'rooms,': RAOPLS/KW-BG
'while': WHAOEUL
'cold': KOELD
'winter': WEURPBT
'raged': RAG/-D
'without,': WOUT/KW-BG
'when': WHEPB
'a': AEU
'piece': PAOES
'of': -F
'news': TPHUS
'was': WAS
'brought': PWRAUT
'to': TO
'the': -T
'bishop.': PWEURB/OP/TP-PL
'"Jens': KW-GS/SKWREPB/-S
'Glob,': KPA/TKPWHROB/KW-BG
'of': -F
'Thyland,': KPA/THAO*EU/HRA*PBD/KW-BG
'has': HAS
'come': KOPL
'back,': PWABG/KW-BG
'and': SKP
'his': HEUS
'mother': PHOER
'with': W
'him."': HEUPL/TP-PL/KR-GS
'Jens': SKWREPB/-S
'Glob': KPA/TKPWHROB
'laid': HRAEUD
'a': AEU
'complaint': KPHRAEUPBT
'against': TKPWEPBS
'the': -T
'bishop,': PWEURB/OP/KW-BG
'and': SKP
'summoned': SPHUPBD
'him': HEUPL
'before': PW-FR
'the': -T
'temporal': TEPL/PRAL
'and': SKP
'the': -T
'spiritual': SPEURT/WAL
'court.': KORT/TP-PL
'"That': KW-GS/KPA*/THA
'will': HR
'avail': A/SRAEUL
'him': HEUPL
'little,"': HREUL/KW-BG/KR-GS
'said': SED
'the': -T
'bishop.': PWEURB/OP/TP-PL
'"Best': KW-GS/KPA*/PWEFT
'leave': HREF
'off': OF
'thy': THAO*EU
'efforts,': EFRTS/KW-BG
'knight': TPHAO*EUT
'Jens."': SKWREPB/-S/TP-PL/KR-GS
'Again': KPA/TKPWEPB
'it': T
'is': S
'the': -T
'time': TAOEUPL
'of': -F
'falling': TPAULG
'leaves': HREFS
'and': SKP
'stranded': STRAPBD/-D
'ships.': SHEUPS/TP-PL
'Icy': KPA/AOEU/SEU
'winter': WEURPBT
'comes': KOPLS
'again,': STKPWERPBGS
'and': SKP
'the': -T
'"white': KW-GS/WHAOEUT
'bees"': PWAOES/KR-GS
'are': R
'swarming,': SWARPL/-G/KW-BG
'and': SKP
'sting': STEUPBG
'the': -T
'traveller's': TRA*FL/HRER/AES
'face': TPAEUS
'till': TEUL
'they': THE
'melt.': PHELT/TP-PL
'"Keen': KW-GS/KPA*/KAOEPB
'weather': WHR*
'to-day!"': TO/H-PB/TKAEU/SKHRAPL/KR-GS
'say': SAEU
'the': -T
'people,': PAOEPL/KW-BG
'as': AS
'they': THE
'step': STEP
'in.': TPH/TP-PL
'Jens': SKWREPB/-S
'Glob': KPA/TKPWHROB
'stands': STAPBDZ
'so': SO
'deeply': TKAO*EPL
'wrapped': WRAPD
'in': TPH
'thought,': THAUT/KW-BG
'that': THA
'he': HE
'singes': SEUPB/-PBLGS
'the': -T
'skirt': SKEURT
'of': -F
'his': HEUS
'wide': WAOEUD
'garment.': TKPWARPLT/TP-PL
'"Thou': KW-GS/KPA*/THO*U
'Borglum': PW*P/O*/R*/TKPW*/HR*/*UPL
'bishop,"': PWEURB/OP/KW-BG/KR-GS
'he': HE
'exclaims,': SKHRAEUPL/-S/KW-BG
'"I': KW-GS/EU
'shall': SHAL
'subdue': SUB/TKAOU
'thee': THAOE
'after': AF
'all!': AUL/SKHRAPL
'Under': KPA/TPH-PB
'the': -T
'shield': SHAOELD
'of': -F
'the': -T
'Pope,': PO*EP/KW-BG
'the': -T
