The Swineherd
'at': AT
'once': WUPBS
'smell': SPHEL
'what': WHA
'meals': PHAOELS
'they': THE
'were': WR
'preparing': PRAOEPG
'on': OPB
'every': EF
'fire': TPAOEUR
'in': TPH
'the': -T
'whole': WHOEL
'town.': TOUPB/TP-PL
'That': KPA/THA
'was': WAS
'indeed': TPHAOEPBD
'much': PHUFP
'more': PHOR
'remarkable': RARBG/-BL
'than': THAPB
'the': -T
'rose.': ROEZ/TP-PL
'When': KPA/WHEPB
'the': -T
'princess': PREUPB/SES
'with': W
'her': HER
'ladies': HRAEUDZ
'passed': PAFD
'by': PWEU
'and': SKP
'heard': HAERD
'the': -T
'tune,': TAOUPB/KW-BG
'she': SHE
'stopped': STOPD
'and': SKP
'looked': HRAOBGD
'quite': KWAOEUT
'pleased,': PHREFD/KW-BG
'for': TPOR
'she': SHE
'also': HR-S
'could': KO
'play': PHRAEU
'it—in': T/EPL/TKA*RB/TPH
'fact,': TPABGT/KW-BG
'it': T
'was': WAS
'the': -T
'only': OEPBL
'tune': TAOUPB
'she': SHE
'could': KO
'play,': PHRAEU/KW-BG
'and': SKP
'she': SHE
'played': PHRAEUD
'it': T
'with': W
'one': WUPB
'finger.': TPEURPBG/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'the': -T
'tune': TAOUPB
'I': EU
'know,"': TPHOE/KW-BG/KR-GS
'she': SHE
'exclaimed.': SKHRAEUPLD/TP-PL
'"He': KW-GS/KPA*/HE
'must': PHUFT
'be': -B
'a': AEU
'well-educated': W*EL/TAEUBGTD
'swineherd.': SWAOEUPB/TK-LS/H*ERD/TP-PL
'Go': KPA/TKPW
'and': SKP
'ask': SK
'him': HEUPL
'how': HOU
'much': PHUFP
'the': -T
'instrument': STRUPLT
'is."': S/TP-PL/KR-GS
'One': KPA/WUPB
'of': -F
'the': -T
'ladies': HRAEUDZ
'had': H
'to': TO
'go': TKPW
'and': SKP
'ask;': SK/STPH*FPLT
'but': PWUT
'she': SHE
'put': PUT
'on': OPB
'pattens.': PAT/TK-LS/TEPB/-S/TP-PL
'"What': KW-GS/KPA*/WHA
'will': HR
'you': U
'take': TAEUBG
'for': TPOR
'your': KWROUR
'pot?"': POT/H-F/KR-GS
'asked': SK-D
'the': -T
'lady.': HRA*ED/TP-PL
'"I': KW-GS/EU
'will': HR
'have': SR
'ten': TEPB
'kisses': KEUS/-S
'from': TPR
'the': -T
'princess,"': PREUPB/SES/KW-BG/KR-GS
'said': SED
'the': -T
'swineherd.': SWAOEUPB/TK-LS/H*ERD/TP-PL
