In the Nursery

'the': -T
'old': OLD
'Pipe-head': KPA/PAOEUP/H*ED
'replies:': RE/PHRAOEUS/STPH-FPLT
'"'Though': KW-GS/AE/KPA*/THOE
'I'm': AOEUPL
'all': AUL
'ear,': AOER/KW-BG
'Very': KPA/SRE
'stupid': STAOUPD
'I': EU
'appear:': A/PAOER/STPH-FPLT
'Where's': KPA/W-RS
'my': PHEU
'humor?': HAOURPL/H-F
'Gone,': KPA/TKPWOPB/KW-BG
'I': EU
'fear,': TPAOER/KW-BG
'And': AFPBD
'I': EU
'feel': TPAOEL
'my': PHEU
'hollow': HOL/OE
'stick's': STEUBG/AES
'not': TPHOT
'here,': HAOERBGS
'Ah!': KPA/HA*E/SKHRAPL
'never,': TPHEFR/KW-BG
'my': PHEU
'dear,': TKAER/KW-BG
'Did': KPA/TK
'I': EU
'feel': TPAOEL
'so': SO
'queer.': KWAOER/TP-PL
'Oh!': KPA/O*ERBGS/SKHRAPL
'pray': PRAEU
'let': HRET
'me': PHE
'out,': OUT/KW-BG
'And': AFPBD
'like': HRAOEUBG
'a': AEU
'lamb': HRAPL
'led': HRED
'to': TO
'slaughter': SHRAUR
'I'll': AOEUL
'betroth': PWE/TRO*T
'you,': U/KW-BG
'no': TPHO
'doubt,': TKOUT/KW-BG
'To': KPA/TO
'my': PHEU
'daughter.'"': TKAUR/TP-PL/AE/KR-GS
'"Is': KW-GS/KPA*/S
'the': -T
'play': PHRAEU
'over': OEFR
'already?"': HR-R/H-F/KR-GS
'asked': SK-D
'little': HREUL
'Anna.': APB/TPHA/TP-PL
'"By': KW-GS/KPA*/PWEU
'no': TPHO
'means,"': PHAOEPBS/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"It's': KW-GS/KPA*/T-S
'only': OEPBL
'all': AUL
'over': OEFR
'with': W
'Mr.': PHR-FPLT
'de': TK*E
'Boots.': KPA/PWAOTS/TP-PL
'Now': KPA/TPHOU
'the': -T
'lovers': HRUFRS
'kneel': TPHAOEL
'down,': TKOUPB/KW-BG
'and': SKP
'one': WUPB
'of': -F
'them': THEPL
'sings:': SEUPBGS/STPH-FPLT
'"'Father!'': KW-GS/AE/KPA*/TPAER/SKHRAPL/AE
'and': SKP
'the': -T
'other,': OER/KW-BG
''Come,': A*E/KPA*/KOPL/KW-BG
'do': TKO
'as': AS
'you': U
'ought': OT
'to': TO
'do,—': TKORBGS/EPL/TKA*RB
'Bless': KPA/PWHRES
'your': KWROUR
'son': SOPB
'and': SKP
'daughter.'': TKAUR/TP-PL/AE
'And': AFPBD
'they': THE
'receive': SAOEF
'his': HEUS
'blessing,': PWHR*EFG/KW-BG
'and': SKP
'celebrate': SEL/PWRAEUT
'their': THAEUR
'wedding,': WEGD/KW-BG
'and': SKP
'all': AUL
'the': -T
'pieces': PAOEFS
'of': -F
'furniture': TPURPBT
'sing': SEUPBG
'in': TPH
'chorus,': KHOURS/KW-BG
'"'Klink!': KW-GS/AE/K*P/HR*/*EUPB/*BG/SKHRAPL
'clanks!': KHRA*PBG/-S/SKHRAPL
'A': KPA/AEU
'thousand': THOUD
'thanks;': THAPBGS/STPH*FPLT
'And': AFPBD
'now': TPHOU
'the': -T
'play': PHRAEU
'is': S
'over!'': OEFR/SKHRAPL/AE
'"And': KW-GS/AFPBD
'now': TPHOU
'we'll': WAOEL
'applaud,"': A/PHRAUD/KW-BG/KR-GS
'said': SED
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"We'll': KW-GS/KPA*/WAOEL
'call': KAUL
'them': THEPL
'all': AUL
