The Shadow
'answer': AEPBS
'it."': T/TP-PL/KR-GS
'"Your': KW-GS/KPA*/KWROUR
'shadow,"': SHOEUD/KW-BG/KR-GS
'said': SED
'the': -T
'princess;': PREUPB/SES/STPH*FPLT
'"indeed': KW-GS/TPHAOEPBD
'that': THA
'would': WO
'be': -B
'very': SRE
'remarkable."': RARBG/-BL/TP-PL/KR-GS
'"I': KW-GS/EU
'do': TKO
'not': TPHOT
'say': SAEU
'so': SO
'positively,"': P*EUFL/KW-BG/KR-GS
'observed': OEBD
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"but': KW-GS/PWUT
'I': EU
'am': APL
'inclined': EUPB/KHRAOEUPBD
'to': TO
'believe': PWHREF
'that': THA
'he': HE
'can': K
'do': TKO
'so.': SO/TP-PL
'He': KPA/HE
'has': HAS
'followed': TPOLD
'me': PHE
'for': TPOR
'so': SO
'many': PHAEPB
'years,': KWRAOERS/KW-BG
'and': SKP
'has': HAS
'heard': HAERD
'so': SO
'much': PHUFP
'from': TPR
'me,': PHE/KW-BG
'that': THA
'I': EU
'think': THEU
'it': T
'is': S
'very': SRE
'likely.': HRAOEULG/TP-PL
'But': KPA/PWUT
'your': KWROUR
'royal': ROEUL
'highness': HAOEU/-PBS
'must': PHUFT
'allow': HROU
'me': PHE
'to': TO
'observe,': OEB/KW-BG
'that': THA
'he': HE
'is': S
'very': SRE
'proud': PROUD
'of': -F
'being': -BG
'considered': KR-D
'a': AEU
'man,': PHAPB/KW-BG
'and': SKP
'to': TO
'put': PUT
'him': HEUPL
'in': TPH
'a': AEU
'good': TKPWAOD
'humor,': HAOURPL/KW-BG
'so': SO
'that': THA
'he': HE
'may': PHAE
'answer': AEPBS
'correctly,': KRELG/KW-BG
'he': HE
'must': PHUFT
'be': -B
'treated': TRAOETD
'as': AS
'a': AEU
'man."': PHAPB/TP-PL/KR-GS
'"I': KW-GS/EU
'shall': SHAL
'be': -B
'very': SRE
'pleased': PHREFD
'to': TO
'do': TKO
'so,"': SO/KW-BG/KR-GS
'said': SED
'the': -T
'princess.': PREUPB/SES/TP-PL
'So': KPA/SO
'she': SHE
'walked': WAUBGD
'up': UP
'to': TO
'the': -T
'learned': HRERPBD
'man,': PHAPB/KW-BG
'who': WHO
'stood': STAOD
'in': TPH
'the': -T
'doorway,': TKAOR/WAEU/KW-BG
'and': SKP
'spoke': SPOEBG
'to': TO
'him': HEUPL
'of': -F
'the': -T
'sun,': SUPB/KW-BG
'and': SKP
'the': -T
'moon,': PHAOPB/KW-BG
'of': -F
'the': -T
'green': TKPWRAOEPB
'forests,': TPOEFRT/-S/KW-BG
'and': SKP
'of': -F
'people': PAOEPL
'near': TPHAOER
'home': HOEPL
'and': SKP
'far': TPAR
'off;': OF/STPH*FPLT
'and': SKP
'the': -T
'learned': HRERPBD
'man': PHAPB
'conversed': KWERS/-D
'with': W
'her': HER
'pleasantly': PHRES/APBT/HREU
'and': SKP
'sensibly.': SEPBS/PWHREU/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'wonderful': WUFL
'man': PHAPB
'he': HE
'must': PHUFT
'be,': -B/KW-BG
'to': TO
'have': SR
'such': SUFP
'a': AEU
'clever': KHREFR
'shadow!"': SHOEUD/SKHRAPL/KR-GS
'thought': THAUT
'she.': SHE/TP-PL
'"If': KW-GS/KPA*/TP
'I': EU
'were': WR
'to': TO
'choose': KHAOS
'him': HEUPL
'it': T
'would': WO
'be': -B
'a': AEU
'real': RAEL
'blessing': PWHR*EFG
'to': TO
'my': PHEU
'country': KREU
'and': SKP
'my': PHEU
'subjects,': SUBTS/KW-BG
'and': SKP
'I': EU
'will': HR
'do': TKO
'it."': T/TP-PL/KR-GS
'So': KPA/SO
'the': -T
'princess': PREUPB/SES
'and': SKP
'the': -T
'shadow': SHOEUD
'were': WR
'soon': SAOPB
'engaged': EPB/TKPWAEUPBLGD
'to': TO
'each': AOEFP
'other,': OER/KW-BG
'but': PWUT
'no': TPHO
'one': WUPB
'was': WAS
'to': TO
'be': -B
'told': TOLD
'a': AEU
'word': WORD
'about': PW
'it,': T/KW-BG
'till': TEUL
'she': SHE
'returned': RURPBD
'to': TO
'her': HER
'kingdom.': KEUPBG/TKOPL/TP-PL
'"No': KW-GS/KPA*/TPHO
'one': WUPB
'shall': SHAL
'know,"': TPHOE/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"not': KW-GS/TPHOT
'even': AOEPB
'my': PHEU
'own': OEPB
'shadow;"': SHOEUD/STPH*FPLT/KR-GS
'and': SKP
'he': HE
'had': H
'very': SRE
'particular': PHRAR
'reasons': R-PBS
'for': TPOR
'saying': SAEUG
'so.': SO/TP-PL
'After': KPA/AF
'a': AEU
'time,': TAOEUPL/KW-BG
'the': -T
'princess': PREUPB/SES
'returned': RURPBD
'to': TO
'the': -T
'land': HRAPBD
'over': OEFR
'which': WEU
'she': SHE
'reigned,': RAEPB/-D/KW-BG
'and': SKP
'the': -T
'shadow': SHOEUD
'accompanied': A/K-PD
'her.': HER/TP-PL
'"Listen': KW-GS/KPA*/HREUFPB
'my': PHEU
'friend,"': TPREPBD/KW-BG/KR-GS
'said': SED
'the': -T
'shadow': SHOEUD
'to': TO
'the': -T
'learned': HRERPBD
'man;': PHAPB/STPH*FPLT
'"now': KW-GS/TPHOU
'that': THA
'I': EU
'am': APL
'as': AS
'fortunate': TP-RPBT
'and': SKP
'as': AS
'powerful': POURL
'as': AS
'any': TPHEU
'man': PHAPB
'can': K
'be,': -B/KW-BG
'I': EU
'will': HR
'do': TKO
'something': S-G
'unusually': TPHAOURBL
'good': TKPWAOD
'for': TPOR
'you.': U/TP-PL
'You': KPA/U
'shall': SHAL
'live': HREUF
'in': TPH
'my': PHEU
'palace,': PAL/AS/KW-BG
'drive': TKRAOEUF
'with': W
'me': PHE
'in': TPH
'the': -T
'royal': ROEUL
'carriage,': KAEURPBLG/KW-BG
'and': SKP
'have': SR
'a': AEU
'hundred': HUPBD
'thousand': THOUD
'dollars': TKHRARS
'a': AEU
'year;': KWRAOER/STPH*FPLT
'but': PWUT
'you': U
'must': PHUFT
'allow': HROU
'every': EF
'one': WUPB
'to': TO
'call': KAUL
'you': U
'a': AEU
'shadow,': SHOEUD/KW-BG
'and': SKP
'never': TPHEFR
'venture': SREPBT/UR
'to': TO
'say': SAEU
'that': THA
'you': U
'have': SR
'been': PW-PB
'a': AEU
'man.': PHAPB/TP-PL
'And': AFPBD
'once': WUPBS
'a': AEU
'year,': KWRAOERBGS
'when': WHEPB
'I': EU
'sit': SEUT
'in': TPH
'my': PHEU
'balcony': PWAL/KOEPB
'in': TPH
'the': -T
'sunshine,': SUPB/SHAO*EUPB/KW-BG
'you': U
'must': PHUFT
'lie': HRAOEU
'at': AT
'my': PHEU
'feet': TPAOET
'as': AS
'becomes': PW-BGS
'a': AEU
'shadow': SHOEUD
'to': TO
'do;': TKO/STPH*FPLT
'for': TPOR
'I': EU
'must': PHUFT
'tell': TEL
'you': U
'I': EU
'am': APL
'going': TKPW-G
'to': TO
'marry': PHAER
'the': -T
'princess,': PREUPB/SES/KW-BG
'and': SKP
'our': OUR
'wedding': WEGD
'will': HR
'take': TAEUBG
'place': PHRAEUS
'this': TH
'evening."': AOEPBG/TP-PL/KR-GS
'"Now,': KW-GS/KPA*/TPHOU/KW-BG
'really,': R-L/KW-BG
'this': TH
'is': S
'too': TAO
'ridiculous,"': REULGS/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"I': KW-GS/EU
'cannot,': SK-PBT/KW-BG
'and': SKP
'will': HR
'not,': TPHOT/KW-BG
'submit': SPHEUT
'to': TO
'such': SUFP
'folly.': TPOL/HREU/TP-PL
'It': KPA/T
'would': WO
'be': -B
'cheating': KHAOEGT
'the': -T
'whole': WHOEL
'country,': KREU/KW-BG
'and': SKP
'the': -T
'princess': PREUPB/SES
'also.': HR-S/TP-PL
'I': EU
'will': HR
'disclose': TKEUS/KHROES
'everything,': EFRG/KW-BG
'and': SKP
'say': SAEU
'that': THA
'I': EU
'am': APL
'the': -T
'man,': PHAPB/KW-BG
'and': SKP
'that': THA
'you': U
'are': R
'only': OEPBL
'a': AEU
'shadow': SHOEUD
'dressed': TKREFD
'up': UP
'in': TPH
'men's': PHEPB/AES
'clothes."': KHRO*ETS/TP-PL/KR-GS
'"No': KW-GS/KPA*/TPHO
'one': WUPB
'would': WO
'believe': PWHREF
'you,"': U/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"be': KW-GS/-B
'reasonable,': R-PBL/KW-BG
'now,': TPHOURBGS
'or': OR
'I': EU
'will': HR
'call': KAUL
'the': -T
'guards."': TKPWARDZ/TP-PL/KR-GS
'"I': KW-GS/EU
'will': HR
'go': TKPW
'straight': STRAEUT
'to': TO
'the': -T
'princess,"': PREUPB/SES/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"But': KW-GS/KPA*/PWUT
'I': EU
'shall': SHAL
'be': -B
'there': THR
'first,"': TPEUFRT/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'shadow,': SHOEUD/KW-BG
'"and': KW-GS/SKP
'you': U
'will': HR
'be': -B
'sent': SEPBT
'to': TO
'prison."': PREUZ/TP-PL/KR-GS
'And': AFPBD
'so': SO
'it': T
'turned': TURPBD
'out,': OUT/KW-BG
'for': TPOR
'the': -T
'guards': TKPWARDZ
'readily': RED/HREU
'obeyed': O/PWAEU/-D
'him,': HEUPL/KW-BG
'as': AS
'they': THE
'knew': TPHAOU
'he': HE
'was': WAS
'going': TKPW-G
'to': TO
'marry': PHAER
'the': -T
'king's': KEUPBG/AES
'daughter.': TKAUR/TP-PL
'"You': KW-GS/KPA*/U
'tremble,"': TREPL/-BL/KW-BG/KR-GS
'said': SED
'the': -T
'princess,': PREUPB/SES/KW-BG
'when': WHEPB
'the': -T
'shadow': SHOEUD
'appeared': A/PAOERD
'before': PW-FR
'her.': HER/TP-PL
'"Has': KW-GS/KPA*/HAS
'anything': TPHEUG
'happened?': HAPD/H-F
'You': KPA/U
'must': PHUFT
'not': TPHOT
'be': -B
'ill': EUL
'to-day,': TO/TKA*EU/KW-BG
'for': TPOR
'this': TH
'evening': AOEPBG
'our': OUR
'wedding': WEGD
'will': HR
'take': TAEUBG
'place."': PHRAEUS/TP-PL/KR-GS
'"I': KW-GS/EU
'have': SR
'gone': TKPWOPB
'through': THRU
'the': -T
'most': PHOFT
'terrible': TERBL
'affair': A/TPAEUR
'that': THA
'could': KO
'possibly': POBL
'happen,"': HAP/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"only': KW-GS/OEPBL
'imagine,': PHAPBLG/KW-BG
'my': PHEU
'shadow': SHOEUD
'has': HAS
'gone': TKPWOPB
'mad;': PHAD/STPH*FPLT
'I': EU
'suppose': SPOS
'such': SUFP
'a': AEU
'poor,': PAOR/KW-BG
'shallow': SHOEUL
'brain,': PWRAEUPB/KW-BG
'could': KO
'not': TPHOT
'bear': PWAER
'much;': PHUFP/STPH*FPLT
'he': HE
'fancies': TPAPB/SEU/-S
'that': THA
'he': HE
'has': HAS
'become': PW-BG
'a': AEU
'real': RAEL
'man,': PHAPB/KW-BG
'and': SKP
'that': THA
'I': EU
'am': APL
'his': HEUS
'shadow."': SHOEUD/TP-PL/KR-GS
'"How': KW-GS/KPA*/HOU
'very': SRE
'terrible,"': TERBL/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'princess;': PREUPB/SES/STPH*FPLT
'"is': KW-GS/S
'he': HE
'locked': HROBGD
'up?"': UP/H-F/KR-GS
'"Oh': KW-GS/KPA*/O*ERBGS
'yes,': KWRERBGS
'certainly;': SERPBL/STPH*FPLT
'for': TPOR
'I': EU
'fear': TPAOER
'he': HE
'will': HR
'never': TPHEFR
'recover."': ROFR/TP-PL/KR-GS
'"Poor': KW-GS/KPA*/PAOR
'shadow!"': SHOEUD/SKHRAPL/KR-GS
'said': SED
'the': -T
'princess;': PREUPB/SES/STPH*FPLT
'"it': KW-GS/T
'is': S
'very': SRE
'unfortunate': TPHORPBT
'for': TPOR
'him;': HEUPL/STPH*FPLT
'it': T
'would': WO
'really': R-L
'be': -B
'a': AEU
'good': TKPWAOD
'deed': TKAOED
'to': TO
'free': TPRAOE
'him': HEUPL
'from': TPR
'his': HEUS
'frail': TPRAEUL
'existence;': KPEUFS/STPH*FPLT
'and,': SKP/KW-BG
'indeed,': TPHAOEPBD/KW-BG
'when': WHEPB
'I': EU
'think': THEU
'how': HOU
'often': OFPB
'people': PAOEPL
'take': TAEUBG
'the': -T
'part': PART
'of': -F
'the': -T
'lower': HROUR
'class': KHRAS
'against': TKPWEPBS
'the': -T
'higher,': HAOEUR/KW-BG
'in': TPH
'these': THEZ
'days,': TKAEUS/KW-BG
'it': T
'would': WO
'be': -B
'policy': POEULS
'to': TO
'put': PUT
'him': HEUPL
'out': OUT
'of': -F
'the': -T
'way': WAEU
'quietly."': KWAO*EULT/TP-PL/KR-GS
'"It': KW-GS/KPA*/T
'is': S
'certainly': SERPBL
'rather': RAER
'hard': HARD
'upon': POPB
'him,': HEUPL/KW-BG
'for': TPOR
'he': HE
'was': WAS
'a': AEU
'faithful': TPA*EUT/-FL
'servant,"': SEFRB/APBT/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'and': SKP
'he': HE
'pretended': PRE/TEPBD/-D
'to': TO
'sigh.': SAOEU/TP-PL
'"Yours': KW-GS/KPA*/KWROURS
'is': S
'a': AEU
'noble': TPHOEBL
'character,"': KRAR/KW-BG/KR-GS
'said': SED
'the': -T
'princess,': PREUPB/SES/KW-BG
'and': SKP
'bowed': PWOE/-D
'herself': H*ERS
'before': PW-FR
'him.': HEUPL/TP-PL
'In': KPA/TPH
'the': -T
'evening': AOEPBG
'the': -T
'whole': WHOEL
'town': TOUPB
'was': WAS
'illuminated,': EUL/AOUPL/TPHAEUT/-D/KW-BG
'and': SKP
'cannons': KAPB/TPHOPB/-S
'fired': TPAOEURD
'"boom,"': KW-GS/PWAOPL/KW-BG/KR-GS
'and': SKP
'the': -T
'soldiers': SHRERPBLGS
'presented': PREPBTD
'arms.': ARPLS/TP-PL
'It': KPA/T
'was': WAS
'indeed': TPHAOEPBD
'a': AEU
'grand': TKPWRAPBD
'wedding.': WEGD/TP-PL
'The': KPA/-T
'princess': PREUPB/SES
'and': SKP
'the': -T
'shadow': SHOEUD
'stepped': STEPD
'out': OUT
'on': OPB
'the': -T
'balcony': PWAL/KOEPB
'to': TO
'show': SHOE
'themselves,': TH*EPLS/KW-BG
'and': SKP
'to': TO
'receive': SAOEF
'one': WUPB
'cheer': KHAOER
'more.': PHOR/TP-PL
'But': KPA/PWUT
'the': -T
'learned': HRERPBD
'man': PHAPB
'heard': HAERD
'nothing': TPHOG
'of': -F
'all': AUL
'these': THEZ
'festivities,': TPEFT/EUFT/TEU/-S/KW-BG
'for': TPOR
'he': HE
'had': H
'already': HR-R
'been': PW-PB
'executed.': SKAOUTD/TP-PL
