The Psyche
'squandered': SKWAPBD/*ERD
'and': SKP
'cast': KAFT
'away!"': WA*EU/SKHRAPL/KR-GS
'And': AFPBD
'this': TH
'thought': THAUT
'rolled': ROLD
'and': SKP
'grew': TKPWRAOU
'like': HRAOEUBG
'a': AEU
'snowball,': STPHOEBL/KW-BG
'until': TPH-L
'it': T
'seemed': SAOEPLD
'to': TO
'crush': KRURB
'him.': HEUPL/TP-PL
'"I': KW-GS/EU
'can': K
'confide': KAUPB/TPAOEUD
'my': PHEU
'griefs': TKPWRAOEF/-S
'to': TO
'none.': TPHOPB/TP-PL
'I': EU
'may': PHAEU
'speak': SPAOEBG
'to': TO
'none': TPHOPB
'of': -F
'the': -T
'gnawing': TPHAU/-G
'worm': WORPL
'within.': W-PB/TP-PL
'My': KPA/PHEU
'secret': SKRET
'is': S
'my': PHEU
'prisoner;': PREURZ/STPH*FPLT
'if': TP
'I': EU
'let': HRET
'the': -T
'captive': KAPT/EUF
'escape,': SKAEP/KW-BG
'I': EU
'shall': SHAL
'be': -B
'his!"': HEUS/SKHRAPL/KR-GS
'And': AFPBD
'the': -T
'godlike': TKPWOD/HRAO*EUBG
'power': POUR
'that': THA
'dwelt': TKWELT
'within': W-PB
'him': HEUPL
'suffered': SUFRD
'and': SKP
'strove.': STROEF/TP-PL
'"O': KW-GS/O*P
'Lord,': HRO*RD/KW-BG
'my': PHEU
'Lord!"': HRO*RD/SKHRAPL/KR-GS
'he': HE
'cried,': KRAOEUD/KW-BG
'in': TPH
'his': HEUS
'despair,': TKE/SPAEUR/KW-BG
'"be': KW-GS/-B
'merciful': PHERS/-FL
'and': SKP
'grant': TKPWRAPBT
'me': PHE
'faith.': TPA*EUT/TP-PL
'I': EU
'threw': THRAOU
'away': WA*EU
'the': -T
'gift': TKPWEUFT
'thou': THO*U
'hadst': H/*FT
'vouchsafed': SROUFP/SAEUF/-D
'to': TO
'me,': PHE/KW-BG
'I': EU
'left': HREFT
'my': PHEU
'mission': PHEUGS
'unfulfilled.': UPB/-FL/TPEUL/-D/TP-PL
'I': EU
'lacked': HRABGD
'strength,': STREPBG/KW-BG
'and': SKP
'strength': STREPBG
'thou': THO*U
'didst': TK*/*EU/TK*/S*/T*
'not': TPHOT
'give': TKPWEUF
'me.': PHE/TP-PL
'Immortality—the': KPA/EUPL/POR/TALT/EPL/TKA*RB/-T
'Psyche': KPA/SAOEUBG
'in': TPH
'my': PHEU
'breast—away': PWREFT/EPL/TKA*RB/WA*EU
'with': W
'it!—it': T/SKHRAPL/EPL/TKA*RB/T
'shall': SHAL
'be': -B
'buried': PWUR/EUD
'like': HRAOEUBG
'that': THA
'Psyche,': KPA/SAOEUBG/KW-BG
'the': -T
'best': PWEFT
'gleam': TKPWHRAOEPL
'of': -F
'my': PHEU
'life;': HRAOEUF/STPH*FPLT
'never': TPHEFR
'will': HR
'it': T
'arise': A/RAOEUS
'out': OUT
'of': -F
'its': EUTS
'grave!"': TKPWRAEUF/SKHRAPL/KR-GS
'The': KPA/-T
'Star': KPA/STAR
'glowed': TKPWHROE/-D
'in': TPH
'the': -T
'roseate': ROEZ/A*T
'air,': AEUR/KW-BG
'the': -T
'Star': KPA/STAR
'that': THA
'shall': SHAL
'surely': SHURL
'be': -B
'extinguished': EBGS/TEUPBG/WEURBD
'and': SKP
'pass': PAS
'away': WA*EU
'while': WHAOEUL
'the': -T
'soul': SOUL
'still': STEUL
'lives': HREUFS
'on;': OPB/STPH*FPLT
'its': EUTS
'trembling': TREPL/-BLG
'beam': PWAEPL
'fell': TPEL
'upon': POPB
'the': -T
'white': WHAOEUT
'wall,': WAUL/KW-BG
'but': PWUT
'it': T
'wrote': WRO
'nothing': TPHOG
'there': THR
'upon': POPB
'being': -BG
'made': PHAED
'perfect': P-F
'in': TPH
'God,': TKPWO*D/KW-BG
'nothing': TPHOG
'of': -F
'the': -T
'hope': HOEP
'of': -F
'mercy,': PHER/SEU/KW-BG
'of': -F
'the': -T
'reliance': RE/HRAOEUPBS
'on': OPB
'the': -T
'divine': TKWAOEUPB
'love': HRUF
'that': THA
'thrills': THREULS
'through': THRU
'the': -T
'heart': HART
'of': -F
'the': -T
'believer.': PWHRAOEFR/TP-PL
'"The': KW-GS/KPA*/-T
'Psyche': KPA/SAOEUBG
'within': W-PB
'can': K
'never': TPHEFR
'die.': TKAOEU/TP-PL
'Shall': KPA/SHAL
'it': T
'live': HREUF
'in': TPH
'consciousness?': KOPBS/-PBS/H-F
'Can': KPA/K
'the': -T
'incomprehensible': EUPB/KPREPBS/-BL
'happen?': HAP/H-F
'Yes,': KPA/KWRE/KW-BG
'yes.': KWR*EFPLT
'My': KPA/PHEU
'being': -BG
'is': S
'incomprehensible.': EUPB/KPREPBS/-BL/TP-PL
'Thou': KPA/THO*U
'art': ART
'unfathomable,': UPB/TPA/THOPL/-BL/KW-BG
'O': O*P
'Lord.': HRO*RD/TP-PL
'Thy': KPA/THAO*EU
'whole': WHOEL
'world': WORLD
'is': S
'incomprehensible—a': EUPB/KPREPBS/-BL/EPL/TKA*RB/AEU
'wonder-work': WOPBD/H-PB/WORBG
'of': -F
'power,': POUR/KW-BG
'of': -F
'glory': TKPWHROER
'and': SKP
'of': -F
'love."': HRUF/TP-PL/KR-GS
'His': KPA/HEUS
'eyes': AO*EUS
'gleamed,': TKPWHRAOEPL/-D/KW-BG
'and': SKP
'then': THEPB
'closed': KHROEFD
'in': TPH
'death.': TK*T/TP-PL
'The': KPA/-T
'tolling': TOL/-G
'of': -F
'the': -T
'church': KHUFRPB
'bell': PWEL
'was': WAS
'the': -T
'last': HRAFT
'sound': SOUPBD
'that': THA
'echoed': EBG/OE/-D
'above': PWOF
'him,': HEUPL/KW-BG
'above': PWOF
'the': -T
'dead': TKED
'man;': PHAPB/STPH*FPLT
'and': SKP
'they': THE
'buried': PWUR/EUD
'him,': HEUPL/KW-BG
'covering': KOFRG
'him': HEUPL
'with': W
'earth': *ERT
'that': THA
'had': H
'been': PW-PB
'brought': PWRAUT
'from': TPR
'Jerusalem,': SKWRER/AOUS/HREPL/KW-BG
'and': SKP
'in': TPH
'which': WEU
'was': WAS
'mingled': PHEUPBG/-LD
'the': -T
'dust': TKUFT
'of': -F
'many': PHAEPB
'of': -F
'the': -T
'pious': PAOEU/OUS
'dead.': TKED/TP-PL
'When': KPA/WHEPB
'years': KWRAOERS
'had': H
'gone': TKPWOPB
'by': PWEU
'his': HEUS
'skeleton': SKEL/TOPB
'was': WAS
'dug': TKUG
'up,': UP/KW-BG
'as': AS
'the': -T
'skeletons': SKEL/TOPB/-S
'of': -F
'the': -T
'monks': PHOPB/-BGS
'who': WHO
'had': H
'died': TKAOEUD
'before': PW-FR
'him': HEUPL
'had': H
'been;': PW-PB/STPH*FPLT
'it': T
'was': WAS
'clad': KHRAD
'in': TPH
'a': AEU
'brown': PWROUPB
'frock,': TPROBG/KW-BG
'a': AEU
'rosary': ROES/REU
'was': WAS
'put': PUT
'into': TPHAO
'the': -T
'bony': PWOEPB/KWREU
'hand,': HAPBD/KW-BG
'and': SKP
'the': -T
'form': TPORPL
'was': WAS
'placed': PHRAEUFD
'among': PHOPBG
'the': -T
'ranks': RA*PBGS
'of': -F
'other': OER
'skeletons': SKEL/TOPB/-S
'in': TPH
'the': -T
'cloisters': KHRO*EUS/*ERS
'of': -F
'the': -T
'convent.': KOPB/SREPBT/TP-PL
'And': AFPBD
'the': -T
'sun': SUPB
'shone': SHO*EPB
'without,': WOUT/KW-BG
'while': WHAOEUL
'within': W-PB
'the': -T
'censers': SEPBS/ERS
'were': WR
'waved': WAFD
'and': SKP
'the': -T
'Mass': KPA*/PHAS
'was': WAS
'celebrated.': SEL/PWRAEUT/-D/TP-PL
'And': AFPBD
'years': KWRAOERS
'rolled': ROLD
'by.': PWEU/TP-PL
'The': KPA/-T
'bones': PWOEPBS
'fell': TPEL
'asunder': AS/UPBD/ER
'and': SKP
'became': PWAEUPL
'mingled': PHEUPBG/-LD
'with': W
'others.': OERS/TP-PL
'Skulls': KPA/SKULS
'were': WR
'piled': PAOEULD
'up': UP
'till': TEUL
'they': THE
'formed': TPORPLD
'an': APB
'outer': OURT
'wall': WAUL
'around': ARPBD
'the': -T
'church;': KHUFRPB/STPH*FPLT
'and': SKP
'there': THR
'lay': HRAEU
'also': HR-S
'his': HEUS
'head': HED
'in': TPH
'the': -T
'burning': PWURPBG
'sun,': SUPB/KW-BG
'for': TPOR
'many': PHAEPB
'dead': TKED
'were': WR
'there,': THR-RBGS
'and': SKP
'no': TPHO
'one': WUPB
'knew': TPHAOU
'their': THAEUR
'names,': TPHAEUPLS/KW-BG
'and': SKP
'his': HEUS
'name': TPHAEUPL
'was': WAS
'forgotten': TPAURGTD
'also.': HR-S/TP-PL
'And': AFPBD
'see,': SAOERBGS
'something': S-G
'was': WAS
'moving': PHOFG
'in': TPH
'the': -T
'sunshine,': SUPB/SHAO*EUPB/KW-BG
'in': TPH
'the': -T
'sightless': SAOEUT/-LS
'cavernous': KAFRPB/OUS
'eyes!': AO*EUS/SKHRAPL
'What': KPA/WHA
'might': PHAOEUT
'that': THA
'be?': -B/H-F
'A': KPA/AEU
'sparkling': SPAR/K-LG
'lizard': HREUZ/ARD
'moved': PHOFD
'about': PW
'in': TPH
'the': -T
'skull,': SKUL/KW-BG
'gliding': TKPWHRAOEUD/-G
'in': TPH
'and': SKP
'out': OUT
'through': THRU
'the': -T
'sightless': SAOEUT/-LS
'holes.': HOELS/TP-PL
'The': KPA/-T
'lizard': HREUZ/ARD
'now': TPHOU
'represented': REPD
'all': AUL
'the': -T
'life': HRAOEUF
'left': HREFT
'in': TPH
'that': THA
'head,': HED/KW-BG
'in': TPH
'which': WEU
'once': WUPBS
'great': TKPWRAET
'thoughts,': THAUTS/KW-BG
'bright': PWRAOEUT
'dreams,': TKRAOEPLS/KW-BG
'the': -T
'love': HRUF
'of': -F
'art': ART
'and': SKP
'of': -F
'the': -T
'glorious,': TKPWHRORS/KW-BG
'had': H
'arisen,': A/RAOEUZ/-D/KW-BG
'whence': WHEPBS
'hot': HOT
'tears': TAERS
'had': H
'rolled': ROLD
'down,': TKOUPB/KW-BG
'where': W-R
'hope': HOEP
'and': SKP
'immortality': EUPL/POR/TALT
'had': H
'had': H
'their': THAEUR
'being.': -BG/TP-PL
'The': KPA/-T
'lizard': HREUZ/ARD
'sprang': SPRAPBG
'away': WA*EU
'and': SKP
'disappeared,': TKEUS/PAOERD/KW-BG
'and': SKP
'the': -T
'skull': SKUL
'itself': T/SEFL
'crumbled': KRUPL/-BLD
'to': TO
'pieces': PAOEFS
'and': SKP
'became': PWAEUPL
'dust': TKUFT
'among': PHOPBG
'dust.': TKUFT/TP-PL
'Centuries': KPA/KREPBT/REUS
'passed': PAFD
'away.': WA*EU/TP-PL
'The': KPA/-T
'bright': PWRAOEUT
'Star': KPA/STAR
'gleamed': TKPWHRAOEPL/-D
'unaltered,': UPB/AURLTD/KW-BG
'radiant': RAEUD/KWRAPBT
'and': SKP
'large,': HRARPBLG/KW-BG
'as': AS
'it': T
'had': H
'gleamed': TKPWHRAOEPL/-D
'for': TPOR
'thousands': THOUDZ
'of': -F
'years,': KWRAOERS/KW-BG
'and': SKP
'the': -T
'air': AEUR
'glowed': TKPWHROE/-D
'red': RED
'with': W
'tints': TEUPBTS
'fresh': TPRERB
'as': AS
'roses,': ROES/-S/KW-BG
'crimson': KREUPL/SOPB
'like': HRAOEUBG
'blood.': PWHRAOD/TP-PL
'There,': KPA/THR/KW-BG
'where': W-R
'once': WUPBS
'had': H
'stood': STAOD
'the': -T
'narrow': TPHO*EUR
'lane': HRAEPB
'containing': KAUPB/TAEUPBG
'the': -T
'ruins': RAOUPBS
'of': -F
'the': -T
'temple,': TEFRPL/KW-BG
'a': AEU
'nunnery': TPHUPB/*PB/SKWRE/REU
'was': WAS
'now': TPHOU
'built.': PWEULT/TP-PL
'A': KPA/AEU
'grave': TKPWRAEUF
'was': WAS
'being': -BG
'dug': TKUG
'in': TPH
'the': -T
'convent': KOPB/SREPBT
'garden': TKPWA*RPB
'for': TPOR
'a': AEU
'young': KWRUPBG
'nun': TPHUPB
'who': WHO
'had': H
'died,': TKAOEUD/KW-BG
'and': SKP
'was': WAS
'to': TO
'be': -B
'laid': HRAEUD
'in': TPH
'the': -T
'earth': *ERT
'this': TH
'morning.': PHORPBG/TP-PL
'The': KPA/-T
'spade': SPAEUD
'struck': STRUBG
'against': TKPWEPBS
'a': AEU
'hard': HARD
'substance;': SAUBS/STPH*FPLT
'it': T
'was': WAS
'a': AEU
'stone,': STOEPB/KW-BG
'that': THA
'shone': SHO*EPB
'dazzling': TKAZ/-LG
'white.': WHAOEUT/TP-PL
'A': KPA/AEU
'block': PWHROBG
'of': -F
'marble': PHAERBL
'soon': SAOPB
'appeared,': A/PAOERD/KW-BG
'a': AEU
'rounded': ROUPBD/-D
'shoulder': SHOURLD
'was': WAS
'laid': HRAEUD
'bare;': PWAEUR/STPH*FPLT
'and': SKP
'now': TPHOU
'the': -T
'spade': SPAEUD
'was': WAS
'plied': PHRAOEUD
'with': W
'a': AEU
'more': PHOR
'careful': KAEUFL
'hand,': HAPBD/KW-BG
'and': SKP
'presently': PREPBLT
'a': AEU
'female': TPAEL
'head': HED
'was': WAS
'seen,': SAOEPB/KW-BG
'and': SKP
'butterflies'': PW*URT/TPHRAOEU/-S/AE
'wings.': WEUPBGS/TP-PL
'Out': KPA/OUT
'of': -F
'the': -T
'grave': TKPWRAEUF
'in': TPH
'which': WEU
'the': -T
'young': KWRUPBG
'nun': TPHUPB
'was': WAS
'to': TO
'be': -B
'laid': HRAEUD
'they': THE
'lifted,': HREUFTD/KW-BG
'in': TPH
'the': -T
'rosy': ROEZ/SEU
'morning,': PHORPBG/KW-BG
'a': AEU
'wonderful': WUFL
'statue': STOEUT
'of': -F
'a': AEU
'Psyche': KPA/SAOEUBG
'carved': KAFRBD
'in': TPH
'white': WHAOEUT
'marble.': PHAERBL/TP-PL
'"How': KW-GS/KPA*/HOU
'beautiful,': PWAOUFL/KW-BG
'how': HOU
'perfect': P-F
'it': T
'is!"': S/SKHRAPL/KR-GS
'cried': KRAOEUD
'the': -T
'spectators.': SPEBG/TAEUT/O*RS/TP-PL
'"A': KW-GS/KPA*/AEU
'relic': REL/EUBG
'of': -F
'the': -T
'best': PWEFT
'period': PAOERD
'of': -F
'art."': ART/TP-PL/KR-GS
'And': AFPBD
'who': WHO
'could': KO
'the': -T
'sculptor': SKAO*UFP
'have': SR
'been?': PW-PB/H-F
'No': KPA/TPHO
'one': WUPB
'knew;': TPHAOU/STPH*FPLT
'no': TPHO
'one': WUPB
'remembered': RERD
'him,': HEUPL/KW-BG
'except': KPEPT
'the': -T
'bright': PWRAOEUT
'star': STAR
'that': THA
'had': H
'gleamed': TKPWHRAOEPL/-D
'for': TPOR
'thousands': THOUDZ
'of': -F
'years.': KWRAOERS/TP-PL
'The': KPA/-T
'star': STAR
'had': H
'seen': SAOEPB
'the': -T
'course': KORS
'of': -F
'that': THA
'life': HRAOEUF
'on': OPB
'earth,': *ERT/KW-BG
'and': SKP
'knew': TPHAOU
'of': -F
'the': -T
'man's': PHAPB/AES
'trials,': TRAOEULS/KW-BG
'of': -F
'his': HEUS
'weakness—in': WAEBG/-PBS/EPL/TKA*RB/TPH
'fact,': TPABGT/KW-BG
'that': THA
'he': HE
'had': H
'been': PW-PB
'but': PWUT
'human.': HAOUPL/TP-PL
'The': KPA/-T
'man's': PHAPB/AES
'life': HRAOEUF
'had': H
'passed': PAFD
'away,': WA*EU/KW-BG
'his': HEUS
'dust': TKUFT
'had': H
'been': PW-PB
'scattered': SKAT/ERD
'abroad': A/PWRAOD
'as': AS
'dust': TKUFT
'is': S
'destined': TKES/TEUPBD
'to': TO
'be;': -B/STPH*FPLT
'but': PWUT
'the': -T
'result': RULT
'of': -F
'his': HEUS
'noblest': TPHOEBL/*ES
'striving,': STRAOEUFG/KW-BG
'the': -T
'glorious': TKPWHRORS
'work': WORBG
'that': THA
'gave': TKPWAEUF
'token': TO*EPB
'of': -F
'the': -T
'divine': TKWAOEUPB
'element': HREPLT
'within': W-PB
'him—the': HEUPL/EPL/TKA*RB/-T
'Psyche': KPA/SAOEUBG
'that': THA
'never': TPHEFR
'dies,': TKAOEUZ/KW-BG
'that': THA
'lives': HREUFS
'beyond': KWROPBD
'posterity—the': POS/TERT/EPL/TKA*RB/-T
'brightness': PWRAOEUT/-PBS
'even': AOEPB
'of': -F
'this': TH
'earthly': *ERT/HREU
'Psyche': KPA/SAOEUBG
'remained': RE/PHAEUPBD
'here': HAOER
'after': AF
'him,': HEUPL/KW-BG
'and': SKP
'was': WAS
'seen': SAOEPB
'and': SKP
'acknowledged': ABG/TPHOPBLGD
'and': SKP
'appreciated.': PRAOERBD/TP-PL
'The': KPA/-T
'bright': PWRAOEUT
'Morning': KPA/PHORPBG
'Star': KPA/STAR
'in': TPH
'the': -T
'roseate': ROEZ/A*T
'air': AEUR
'threw': THRAOU
'its': EUTS
'glancing': TKPWHRAPBS/-G
'ray': RAEU
'downward': TKOUPB/WARD
'upon': POPB
'the': -T
'Psyche,': KPA/SAOEUBG/KW-BG
'and': SKP
'upon': POPB
'the': -T
'radiant': RAEUD/KWRAPBT
'countenances': KOUPBT/TPHAPBS/-S
'of': -F
'the': -T
'admiring': AD/PHAOEURG
'spectators,': SPEBG/TAEUT/O*RS/KW-BG
'who': WHO
'here': HAOER
'beheld': PWE/HELD
'the': -T
'image': EUPBLG
'of': -F
'the': -T
'soul': SOUL
'portrayed': POR/TRAEUD
'in': TPH
'marble.': PHAERBL/TP-PL
'What': KPA/WHA
'is': S
'earthly': *ERT/HREU
'will': HR
'pass': PAS
'away': WA*EU
'and': SKP
'be': -B
'forgotten,': TPAURGTD/KW-BG
'and': SKP
'the': -T
'Star': KPA/STAR
'in': TPH
'the': -T
'vast': SRAFT
'firmament': TPEURPL/*PLT
'knows': TPHOEZ
'it.': T/TP-PL
'What': KPA/WHA
'is': S
'heavenly': HEFPBL
'will': HR
'shine': SHAOEUPB
'brightly': PWRAOEULT
'through': THRU
'posterity;': POS/TERT/STPH*FPLT
'and': SKP
'when': WHEPB
'the': -T
'ages': AEPBLGS
'of': -F
'posterity': POS/TERT
'are': R
'past,': PAFT/KW-BG
'the': -T
'Psyche—the': KPA/SAOEUBG/EPL/TKA*RB/-T
'soul—will': SOUL/EPL/TKA*RB/HR
'still': STEUL
'live': HREUF
'on!': OPB/SKHRAPL
