The Goose-Girl
'afraid': A/TPRAEUD
'lest': HR*ES
'Falada': TP*P/A*/HR*/A*/TK*/KWRA
'should': SHO
'some': SOPL
'day': TKAEU
'or': OR
'other': OER
'speak,': SPAOEBG/KW-BG
'and': SKP
'tell': TEL
'all': AUL
'she': SHE
'had': H
'done': TKOPB
'to': TO
'the': -T
'princess.': PREUPB/SES/TP-PL
'She': KPA/SHE
'carried': KAERD
'her': HER
'point,': POEUPBT/KW-BG
'and': SKP
'the': -T
'faithful': TPA*EUT/-FL
'Falada': TP*P/A*/HR*/A*/TK*/KWRA
'was': WAS
'killed;': KEULD/STPH*FPLT
'but': PWUT
'when': WHEPB
'the': -T
'true': TRAOU
'princess': PREUPB/SES
'heard': HAERD
'of': -F
'it,': T/KW-BG
'she': SHE
'wept,': WEPT/KW-BG
'and': SKP
'begged': PWEGD
'the': -T
'man': PHAPB
'to': TO
'nail': TPHAEUL
'up': UP
'Falada's': TP*P/A*/HR*/A*/TK*/KWRA/AES
'head': HED
'against': TKPWEPBS
'a': AEU
'large': HRARPBLG
'dark': TKARBG
'gate': TKPWAET
'of': -F
'the': -T
'city,': STEU/KW-BG
'through': THRU
'which': WEU
'she': SHE
'had': H
'to': TO
'pass': PAS
'every': EF
'morning': PHORPBG
'and': SKP
'evening,': AOEPBG/KW-BG
'that': THA
'there': THR
'she': SHE
'might': PHAOEUT
'still': STEUL
'see': SAOE
'him': HEUPL
'sometimes.': STAOEUPLS/TP-PL
'Then': KPA/THEPB
'the': -T
'slaughterer': SHRAUR/*ER
'said': SED
'he': HE
'would': WO
'do': TKO
'as': AS
'she': SHE
'wished;': WEURBD/STPH*FPLT
'and': SKP
'cut': KUT
'off': OF
'the': -T
'head,': HED/KW-BG
'and': SKP
'nailed': TPHAEULD
'it': T
'up': UP
'under': TPH-PB
'the': -T
'dark': TKARBG
'gate.': TKPWAET/TP-PL
'Early': KPA/ERL
'the': -T
'next': TPHEGT
'morning,': PHORPBG/KW-BG
'as': AS
'she': SHE
'and': SKP
'Curdken': KPA/KURD/*BG/*EPB
'went': WEPBT
'out': OUT
'through': THRU
'the': -T
'gate,': TKPWAET/KW-BG
'she': SHE
'said': SED
'sorrowfully:': SOR/ROEFL/HREU/STPH-FPLT
''Falada,': A*E/TP*P/A*/HR*/A*/TK*/KWRA/KW-BG
'Falada,': TP*P/A*/HR*/A*/TK*/KWRA/KW-BG
'there': THR
'thou': THO*U
'hangest!'': HAPBG/EFT/SKHRAPL/AE
'and': SKP
'the': -T
'head': HED
'answered:': AEPBS/-D/STPH-FPLT
''Bride,': A*E/KPA*/PWRAOEUD/KW-BG
'bride,': PWRAOEUD/KW-BG
'there': THR
'thou': THO*U
'gangest!': TKPWAPBG/EFT/SKHRAPL
'Alas!': KPA/A/HRAS/SKHRAPL
'alas!': A/HRAS/SKHRAPL
'if': TP
'thy': THAO*EU
'mother': PHOER
'knew': TPHAOU
'it,': T/KW-BG
'Sadly,': KPA/SAD/HREU/KW-BG
'sadly,': SAD/HREU/KW-BG
'would': WO
'she': SHE
'rue': RAO
'it.'': T/TP-PL/AE
'Then': KPA/THEPB
'they': THE
'went': WEPBT
'out': OUT
'of': -F
'the': -T
'city,': STEU/KW-BG
'and': SKP
'drove': TKROEF
'the': -T
'geese': TKPWAOES
'on.': OPB/TP-PL
'And': AFPBD
'when': WHEPB
'she': SHE
'came': KAEUPL
'to': TO
'the': -T
'meadow,': PHED/OE/KW-BG
'she': SHE
'sat': SAT
'down': TKOUPB
'upon': POPB
'a': AEU
'bank': PWA*PBG
'there,': THR-RBGS
'and': SKP
'let': HRET
'down': TKOUPB
'her': HER
'waving': WAFG
'locks': HROBGZ
'of': -F
'hair,': HAEUR/KW-BG
'which': WEU
'were': WR
'all': AUL
'of': -F
'pure': PAOUR
'silver;': SEUL/SRER/STPH*FPLT
'and': SKP
'when': WHEPB
'Curdken': KPA/KURD/*BG/*EPB
'saw': SAU
'it': T
'glitter': TKPWHREURT
'in': TPH
'the': -T
'sun,': SUPB/KW-BG
'he': HE
'ran': RAPB
'up,': UP/KW-BG
'and': SKP
'would': WO
'have': SR
'pulled': PULD
'some': SOPL
'of': -F
'the': -T
'locks': HROBGZ
'out,': OUT/KW-BG
'but': PWUT
'she': SHE
'cried:': KRAOEUD/STPH-FPLT
''Blow,': A*E/KPA*/PWHROE/KW-BG
'breezes,': PWRAOEZ/-S/KW-BG
'blow!': PWHROE/SKHRAPL
'Let': KPA/HRET
'Curdken's': KPA/KURD/*BG/*EPB/AES
'hat': HAT
'go!': TKPW/SKHRAPL
'Blow,': KPA/PWHROE/KW-BG
'breezes,': PWRAOEZ/-S/KW-BG
'blow!': PWHROE/SKHRAPL
'Let': KPA/HRET
'him': HEUPL
'after': AF
'it': T
'go!': TKPW/SKHRAPL
'O'er': KPA/OE/*ER
'hills,': HEULS/KW-BG
'dales,': TKAEL/-S/KW-BG
'and': SKP
'rocks,': ROBGS/KW-BG
'Away': KPA/WA*EU
'be': -B
'it': T
'whirl'd': WHEURL/*D
'Till': KPA/TEUL
'the': -T
'silvery': SEUL/SRER/KWREU
'locks': HROBGZ
'Are': KPA/R
'all': AUL
'comb'd': KOEPL/*D
'and': SKP
'curl'd!': KURL/AE/TK*/SKHRAPL
'Then': KPA/THEPB
'there': THR
'came': KAEUPL
'a': AEU
'wind,': WEUPBD/KW-BG
'so': SO
'strong': STROPBG
'that': THA
'it': T
'blew': PWHRAOU
'off': OF
'Curdken's': KPA/KURD/*BG/*EPB/AES
'hat;': HAT/STPH*FPLT
'and': SKP
'away': WA*EU
'it': T
'flew': TPHRAOU
'over': OEFR
'the': -T
'hills:': HEULS/STPH-FPLT
'and': SKP
'he': HE
'was': WAS
'forced': TPOFRD
'to': TO
'turn': TURPB
'and': SKP
'run': RUPB
'after': AF
'it;': T/STPH*FPLT
'till,': TEUL/KW-BG
'by': PWEU
'the': -T
'time': TAOEUPL
'he': HE
'came': KAEUPL
'back,': PWABG/KW-BG
'she': SHE
'had': H
'done': TKOPB
'combing': KOEPL/-G
'and': SKP
'curling': KURLG
'her': HER
'hair,': HAEUR/KW-BG
'and': SKP
'had': H
'put': PUT
'it': T
'up': UP
'again': TKPWEPB
'safe.': SAEUF/TP-PL
'Then': KPA/THEPB
'he': HE
'was': WAS
'very': SRE
'angry': APBG/REU
'and': SKP
'sulky,': S*ULG/KWREU/KW-BG
'and': SKP
'would': WO
'not': TPHOT
'speak': SPAOEBG
'to': TO
'her': HER
'at': AT
