The Story of the Wind

'"Near': KW-GS/KPA*/TPHAOER
'made': PHAED
'preparations': PREPGS/-S
'to': TO
'fell': TPEL
'a': AEU
'tree': TRAOE
'that': THA
'was': WAS
'almost': HR-PL
'dead,': TKED/KW-BG
'and': SKP
'on': OPB
'whose': WHOZ
'naked': TPHAEUBGD
'branches': PWRAFRPBS
'the': -T
'black': PWHRABG
'stork': STORBG
'had': H
'built': PWEULT
'her': HER
'nest,': TPHEFT/KW-BG
'she': SHE
'saw': SAU
'the': -T
'poor': PAOR
'little': HREUL
'things': THEUPBGS
'stretching': STREFPG
'out': OUT
'their': THAEUR
'necks,': TPHEBG/-S/KW-BG
'and': SKP
'she': SHE
'begged': PWEGD
'for': TPOR
'mercy': PHER/SEU
'for': TPOR
'them,': THEPL/KW-BG
'with': W
'the': -T
'tears': TAERS
'in': TPH
'her': HER
'eyes.': AO*EUS/TP-PL
'So': KPA/SO
'the': -T
'tree': TRAOE
'with': W
'the': -T
'black': PWHRABG
'stork's': STORBG/AES
'nest': TPHEFT
'was': WAS
'left': HREFT
'standing;': STAPBG/STPH*FPLT
'the': -T
'tree': TRAOE
'itself,': T/SEFL/KW-BG
'however,': HOUF/KW-BG
'was': WAS
'not': TPHOT
'worth': WO*RT
'much': PHUFP
'to': TO
'speak': SPAOEBG
'of.': -F/TP-PL
'Then': KPA/THEPB
'there': THR
'was': WAS
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'of': -F
'hewing': HAO*U/-G
'and': SKP
'sawing,': SAUG/KW-BG
'and': SKP
'at': AT
'last': HRAFT
'the': -T
'three-decker': THRAOE/H-PB/TKEBG/*ER
'was': WAS
'built.': PWEULT/TP-PL
'The': KPA/-T
'builder': PWEURLD
'was': WAS
'a': AEU
'man': PHAPB
'of': -F
'low': HROE
'origin,': O*RPBLG/KW-BG
'but': PWUT
'possessing': PESZ/-G
'great': TKPWRAET
'pride;': PRAOEUD/STPH*FPLT
'his': HEUS
'eyes': AO*EUS
'and': SKP
'forehead': TPOER/HED
'spoke': SPOEBG
'of': -F
'large': HRARPBLG
'intellect,': SPWHREBGT/KW-BG
'and': SKP
'Waldemar': W*P/A*/HR*/TK*/*E/PH*/A*R
'Daa': KPA/TKA/KWRA
'was': WAS
'fond': TPOPBD
'of': -F
'listening': HR-PBG
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'so': SO
'was': WAS
'Waldemar's': W*P/A*/HR*/TK*/*E/PH*/A*R/AES
'daughter': TKAUR
'Ida,': KPA/EUD/KWRA/KW-BG
'the': -T
'eldest,': ELD/EFT/KW-BG
'now': TPHOU
'about': PW
'fifteen': TPEUF/TAOEPB
'years': KWRAOERS
'old;': OLD/STPH*FPLT
'and': SKP
'while': WHAOEUL
'he': HE
'was': WAS
