Two Brothers
'boy': PWOEU
'heard': HAERD
'in': TPH
'his': HEUS
'heart.': HART/TP-PL
'And': AFPBD
'the': -T
'mighty': PHAOEUT/KWREU
'genius': SKWRAOEPB/KWROUS
'of': -F
'mankind,': PHAPB/KAOEUPBD/KW-BG
'swifter': SWEUF/TER
'than': THAPB
'a': AEU
'bird': PWEURD
'and': SKP
'than': THAPB
'an': APB
'arrow—swifter': RO*EUR/EPL/TKA*RB/SWEUF/TER
'than': THAPB
'anything': TPHEUG
'of': -F
'earthly': *ERT/HREU
'origin—carried': O*RPBLG/EPL/TKA*RB/KAERD
'him': HEUPL
'out': OUT
'into': TPHAO
'space,': SPAEUS/KW-BG
'where': W-R
'the': -T
'heavenly': HEFPBL
'bodies': PWO*EDZ
'are': R
'bound': PWOUPBD
'together': TOGT
'by': PWEU
'the': -T
'rays': RA*ES
'that': THA
'pass': PAS
'from': TPR
'star': STAR
'to': TO
'star.': STAR/TP-PL
'Our': KPA/OUR
'earth': *ERT
'revolved': ROFLD
'in': TPH
'the': -T
'thin': THEUPB
'air,': AEUR/KW-BG
'and': SKP
'the': -T
'cities': STEUS
'upon': POPB
'it': T
'seemed': SAOEPLD
'to': TO
'lie': HRAOEU
'close': KHROES
'to': TO
'each': AOEFP
'other.': OER/TP-PL
'Through': KPA/THRU
'the': -T
'spheres': STPAOERS
'echoed': EBG/OE/-D
'the': -T
'words:': WORDZ/STPH-FPLT
'"What': KW-GS/KPA*/WHA
'is': S
'near,': TPHAOER/KW-BG
'what': WHA
'is': S
'far,': TPAR/KW-BG
'when': WHEPB
'thou': THO*U
'art': ART
'lifted': HREUFTD
'by': PWEU
'the': -T
'mighty': PHAOEUT/KWREU
'genius': SKWRAOEPB/KWROUS
'of': -F
'mind?"': PHAOEUPBD/H-F/KR-GS
'And': AFPBD
'again': TKPWEPB
'the': -T
'boy': PWOEU
'stood': STAOD
'by': PWEU
'the': -T
'window,': WOEUPBD/KW-BG
'gazing': TKPWAEUFG
'out,': OUT/KW-BG
'whilst': WHAOEULS
'his': HEUS
'younger': KWRURPBG
'brother': PWROER
'lay': HRAEU
'in': TPH
'bed.': PWED/TP-PL
'Their': KPA/THAEUR
'mother': PHOER
'called': KAULD
'them': THEPL
'by': PWEU
'their': THAEUR
'names:': TPHAEUPLS/STPH-FPLT
'"Anders': KW-GS/APBD/*ER/-S
'Sandoe"': KPA/SAPBD/SKWRO/SKWRE/KR-GS
'and': SKP
'"Hans': KW-GS/HAPBS
'Christian."': KREUGS/TP-PL/KR-GS
'Denmark': TKEPB/PHARBG
'and': SKP
'the': -T
'whole': WHOEL
'world': WORLD
'knows': TPHOEZ
'them—the': THEPL/EPL/TKA*RB/-T
'two': TWO
'brothers': PWROERS
'Oersted.': KPA/*ERS/-D/TP-PL
