The Bell
'was': WAS
'a': AEU
'quick': KWEUBG
'fellow.': TP*EL/TP-PL
'"I': KW-GS/EU
'will': HR
'and': SKP
'must': PHUFT
'find': TPAOEUPBD
'the': -T
'bell,"': PWEL/KW-BG/KR-GS
'he': HE
'said,': SED/KW-BG
'"if': KW-GS/TP
'I': EU
'have': SR
'to': TO
'go': TKPW
'to': TO
'the': -T
'end': EPBD
'of': -F
'the': -T
'world."': WORLD/TP-PL/KR-GS
'Ugly': KPA/ULG
'monkeys': PHOPB/KEUS
'sat': SAT
'high': HAOEU
'in': TPH
'the': -T
'branches': PWRAFRPBS
'and': SKP
'clenched': KHREPB/-FPD
'their': THAEUR
'teeth.': TAO*ET/TP-PL
'"Shall': KW-GS/KPA*/SHAL
'we': WE
'beat': PWAET
'him?"': HEUPL/H-F/KR-GS
'they': THE
'said.': SED/TP-PL
'"Shall': KW-GS/KPA*/SHAL
'we': WE
'thrash': THRARB
'him?': HEUPL/H-F
'He': KPA/HE
'is': S
'a': AEU
'king's': KEUPBG/AES
'son!"': SOPB/SKHRAPL/KR-GS
'But': KPA/PWUT
'he': HE
'walked': WAUBGD
'on': OPB
'undaunted,': UPB/TKAUPBT/-D/KW-BG
'deeper': TKAOERP
'and': SKP
'deeper': TKAOERP
'into': TPHAO
'the': -T
'wood,': WAOD/KW-BG
'where': W-R
'the': -T
'most': PHOFT
'wonderful': WUFL
'flowers': TPHRO*URS
'were': WR
'growing;': TKPWROEG/STPH*FPLT
'there': THR
'were': WR
'standing': STAPBG
'white': WHAOEUT
'star': STAR
'lilies': HREUL/KWREU/-S
'with': W
'blood-red': PWHRAOD/H-PB/RED
'stamens,': STAEUPL/-PBS/KW-BG
'sky-blue': SKAOEU/H-PB/PWHRU
'tulips': TAOU/HREUPS
'shining': SHAOEUPBG
'when': WHEPB
'the': -T
'wind': WEUPBD
'moved': PHOFD
'them;': THEPL/STPH*FPLT
'apple-trees': A*EPL/H-PB/TRAOES
'covered': KOFRD
'with': W
'apples': APLS
'like': HRAOEUBG
'large': HRARPBLG
'glittering': TKPWHREUT/ERG
'soap': SOEP
'bubbles:': PWUBLS/STPH-FPLT
'only': OEPBL
'think': THEU
'how': HOU
'resplendent': RE/SPHREPBD/EPBT
'these': THEZ
'trees': TRAOES
'were': WR
'in': TPH
'the': -T
'sunshine!': SUPB/SHAO*EUPB/SKHRAPL
'All': KPA/AUL
'around': ARPBD
'were': WR
'beautiful': PWAOUFL
'green': TKPWRAOEPB
'meadows,': PHED/OES/KW-BG
'where': W-R
'hart': HRO*ER/HA*RT
'and': SKP
'hind': HAOEUPBD
'played': PHRAEUD
'in': TPH
'the': -T
'grass.': TKPWRAS/TP-PL
'There': KPA/THR
'grew': TKPWRAOU
'magnificent': PHAFPBT
'oaks': OEBG/-S
'and': SKP
'beech-trees;': PWAOEFP/H-PB/TRAOES/STPH*FPLT
'and': SKP
'if': TP
'the': -T
'bark': PWARBG
'was': WAS
'split': SPHREUT
'of': -F
'any': TPHEU
'of': -F
'them,': THEPL/KW-BG
'long': HROPBG
'blades': PWHRAEUDZ
'of': -F
'grass': TKPWRAS
'grew': TKPWRAOU
'out': OUT
'of': -F
'the': -T
'clefts;': KHREFT/-S/STPH*FPLT
'there': THR
'were': WR
'also': HR-S
'large': HRARPBLG
'smooth': SPHAO*T
'lakes': HRAEUBGS
'in': TPH
'the': -T
'wood,': WAOD/KW-BG
'on': OPB
'which': WEU
'the': -T
'swans': SWAPBS
'were': WR
'swimming': SWEUPLG
'about': PW
'and': SKP
'flapping': TPHRAPG
'their': THAEUR
'wings.': WEUPBGS/TP-PL
'The': KPA/-T
'king's': KEUPBG/AES
'son': SOPB
'often': OFPB
'stood': STAOD
'still': STEUL
'and': SKP
'listened;': HREUFPBD/STPH*FPLT
'sometimes': STAOEUPLS
'he': HE
'thought': THAUT
'that': THA
'the': -T
'sound': SOUPBD
'of': -F
'the': -T
'bell': PWEL
'rose': ROEZ
'up': UP
'to': TO
'him': HEUPL
'out': OUT
'of': -F
'one': WUPB
'of': -F
'these': THEZ
'deep': TKAOEP
'lakes,': HRAEUBGS/KW-BG
'but': PWUT
'soon': SAOPB
'he': HE
'found': TPOUPBD
'that': THA
'this': TH
'was': WAS
'a': AEU
'mistake,': SPHAEUBG/KW-BG
'and': SKP
'that': THA
'the': -T
'bell': PWEL
'was': WAS
'ringing': REUPBG/-G
'still': STEUL
'farther': TPA*RT
'in': TPH
'the': -T
'wood.': WAOD/TP-PL
'Then': KPA/THEPB
'the': -T
'sun': SUPB
'set,': SET/KW-BG
'the': -T
'clouds': KHROUDZ
'were': WR
'as': AS
'red': RED
'as': AS
'fire;': TPAOEUR/STPH*FPLT
'it': T
'became': PWAEUPL
'quiet': KWAO*EUT
'in': TPH
'the': -T
'wood;': WAOD/STPH*FPLT
'he': HE
'sank': SA*PBG
'down': TKOUPB
'on': OPB
'his': HEUS
'knees,': TPHAOEZ/KW-BG
'sang': SAPBG
'an': APB
'evening': AOEPBG
'hymn': H*EUPL
'and': SKP
'said:': SED/STPH-FPLT
'"I': KW-GS/EU
'shall': SHAL
'never': TPHEFR
'find': TPAOEUPBD
'what': WHA
'I': EU
'am': APL
'looking': HRAOG
'for!': TPOR/SKHRAPL
'Now': KPA/TPHOU
'the': -T
'sun': SUPB
'is': S
'setting,': SEGT/KW-BG
'and': SKP
'the': -T
'night,': TPHAOEUT/KW-BG
'the': -T
'dark': TKARBG
'night,': TPHAOEUT/KW-BG
'is': S
'approaching.': A/PROEFPG/TP-PL
'Yet': KPA/KWRET
'I': EU
'may': PHAEU
'perhaps': PRAPS
'see': SAOE
'the': -T
'round': ROUPBD
'sun': SUPB
'once': WUPBS
'more': PHOR
'before': PW-FR
'he': HE
'disappears': TKEUS/PAOERS
'beneath': TPHAO*ET
'the': -T
'horizon.': HORZ/O*PB/TP-PL
'I': EU
'will': HR
'climb': KHRAOEUPL
'up': UP
'these': THEZ
'rocks,': ROBGS/KW-BG
'they': THE
'are': R
'as': AS
'high': HAOEU
'as': AS
'the': -T
'highest': HAOEU/EFT
'trees!"': TRAOES/SKHRAPL/KR-GS
'And': AFPBD
'then,': THEPB/KW-BG
'taking': TAEUG
'hold': HOLD
'of': -F
'the': -T
'creepers': KRAOEP/*ERS
'and': SKP
'roots,': RAOTS/KW-BG
'he': HE
'climbed': KHRAOEUPLD
'up': UP
'on': OPB
'the': -T
'wet': WET
'stones,': STOEPBS/KW-BG
'where': W-R
'water-snakes': WAUR/H-PB/STPHAEUBGS
'were': WR
'wriggling': WREUG/-LG
'and': SKP
'the': -T
'toads,': TOEDZ/KW-BG
'as': AS
'it': T
'were,': WR/KW-BG
'barked': PWARBGD
'at': AT
'him:': HEUPL/STPH-FPLT
'he': HE
'reached': RAOEFPD
'the': -T
'top': TOP
'before': PW-FR
'the': -T
'sun,': SUPB/KW-BG
'seen': SAOEPB
'from': TPR
'such': SUFP
'a': AEU
'height,': HAOEUT/KW-BG
'had': H
'quite': KWAOEUT
'set.': SET/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'what': WHA
'a': AEU
'splendour!"': SHREPBD/O*R/A*U/SKHRAPL/KR-GS
'The': KPA/-T
'sea,': SAE/KW-BG
'the': -T
'great': TKPWRAET
'majestic': PHA/SKWREFT/EUBG
'sea,': SAE/KW-BG
'which': WEU
'was': WAS
'rolling': ROLG
'its': EUTS
'long': HROPBG
'waves': WAFS
'against': TKPWEPBS
'the': -T
'shore,': SHOR/KW-BG
'stretched': STREFPD
'out': OUT
'before': PW-FR
'him,': HEUPL/KW-BG
'and': SKP
'the': -T
'sun': SUPB
'was': WAS
'standing': STAPBG
'like': HRAOEUBG
'a': AEU
'large': HRARPBLG
'bright': PWRAOEUT
'altar': AL/TAR
'and': SKP
'there': THR
'where': W-R
'sea': SAE
'and': SKP
'heaven': HEFPB
'met—all': PHET/EPL/TKA*RB/AUL
'melted': PHELT/-D
'together': TOGT
'in': TPH
'the': -T
'most': PHOFT
'glowing': TKPWHROEG
'colours;': KHRORS/A*U/STPH*FPLT
'the': -T
'wood': WAOD
'was': WAS
'singing,': SEUPBG/-G/KW-BG
'and': SKP
'his': HEUS
'heart': HART
'too.': TAO/TP-PL
'The': KPA/-T
'whole': WHOEL
'of': -F
'nature': TPHAEURT
'was': WAS
'one': WUPB
'large': HRARPBLG
'holy': HOEUL
'church,': KHUFRPB/KW-BG
'in': TPH
'which': WEU
'the': -T
'trees': TRAOES
'and': SKP
'hovering': HOFRG
'clouds': KHROUDZ
'formed': TPORPLD
'the': -T
'pillars,': PEUL/AR/-S/KW-BG
'the': -T
'flowers': TPHRO*URS
'and': SKP
'grass': TKPWRAS
'the': -T
'woven': WOEFPB
'velvet': SREL/SRET
'carpet,': KARPT/KW-BG
'and': SKP
'heaven': HEFPB
'itself': T/SEFL
'was': WAS
'the': -T
'great': TKPWRAET
'cupola;': KUP/HRA/STPH*FPLT
'up': UP
'there': THR
'the': -T
'flame': TPHRAEUPL
'colour': KHROUR
'vanished': SRAPB/EURBD
'as': AS
'soon': SAOPB
'as': AS
'the': -T
'sun': SUPB
'disappeared,': TKEUS/PAOERD/KW-BG
'but': PWUT
'millions': PH-LS
'of': -F
'stars': STARS
'were': WR
'lighted;': HRAOEUTD/STPH*FPLT
'diamond': TKAOEUPLD
'lamps': HRA*PLS
'were': WR
'shining,': SHAOEUPBG/KW-BG
'and': SKP
'the': -T
'king's': KEUPBG/AES
'son': SOPB
'stretched': STREFPD
'his': HEUS
'arms': ARPLS
'out': OUT
'towards': TORDZ
'heaven,': HEFPB/KW-BG
'towards': TORDZ
'the': -T
'sea,': SAE/KW-BG
'and': SKP
'towards': TORDZ
'the': -T
'wood.': WAOD/TP-PL
'Then': KPA/THEPB
'suddenly': SULD
'the': -T
'poor': PAOR
'boy': PWOEU
'with': W
'the': -T
'short-sleeved': SHORT/H-PB/SHRAOEF/-D
'jacket': SKWRABGT
'and': SKP
'the': -T
'wooden': WAOD/EPB
'shoes': SHAOUS
'appeared;': A/PAOERD/STPH*FPLT
'he': HE
'had': H
'arrived': A/RAOEUFD
'just': SKWRUFT
'as': AS
'quickly': KWEULG
'on': OPB
'the': -T
'road': RAOD
'he': HE
'had': H
'chosen.': KHOEFPB/TP-PL
'And': AFPBD
'they': THE
'ran': RAPB
'towards': TORDZ
'each': AOEFP
'other': OER
'and': SKP
'took': TAOBG
'one': WUPB
'another's': TPHOER/AES
'hand,': HAPBD/KW-BG
'in': TPH
'the': -T
'great': TKPWRAET
'cathedral': KA/THAOED/RAL
'of': -F
'nature': TPHAEURT
'and': SKP
'poesy,': PO/ES/KWREU/KW-BG
'and': SKP
'above': PWOF
'them': THEPL
'sounded': SOUPBD/-D
'the': -T
'invisible': EUPB/SREUBL
'holy': HOEUL
'bell;': PWEL/STPH*FPLT
'happy': HAEP
'spirits': SPEURTS
'surrounded': SROUPBD/-D
'them,': THEPL/KW-BG
'singing': SEUPBG/-G
'hallelujahs': HAL/HRAOU/SKWRA/-S
'and': SKP
'rejoicing.': RE/SKWROEUFG/TP-PL
