Anne Lisbeth
'useless': AOUFLS
'search': SEFRPB
'after': AF
'her.': HER/TP-PL
'Towards': KPA/TORDZ
'evening,': AOEPBG/KW-BG
'when': WHEPB
'the': -T
'clerk': KHRERBG
'entered': SPWR-D
'the': -T
'church': KHUFRPB
'to': TO
'toll': TOL
'the': -T
'vesper': SRES/PER
'bell,': PWEL/KW-BG
'he': HE
'saw': SAU
'by': PWEU
'the': -T
'altar': AL/TAR
'Anne': A*EPB
'Lisbeth,': HR*P/*EU/S*/PW*/*ET/KW-BG
'who': WHO
'had': H
'spent': SPEPBT
'the': -T
'whole': WHOEL
'day': TKAEU
'there.': THR/TP-PL
'Her': KPA/HER
'powers': POURS
'of': -F
'body': PWO*ED
'were': WR
'almost': HR-PL
'exhausted,': KPAUFTD/KW-BG
'but': PWUT
'her': HER
'eyes': AO*EUS
'flashed': TPHRARBD
'brightly,': PWRAOEULT/KW-BG
'and': SKP
'on': OPB
'her': HER
'cheeks': KHAOEBGS
'was': WAS
'a': AEU
'rosy': ROEZ/SEU
'flush.': TPHRURB/TP-PL
'The': KPA/-T
'last': HRAFT
'rays': RA*ES
'of': -F
'the': -T
'setting': SEGT
'sun': SUPB
'shone': SHO*EPB
'upon': POPB
'her,': HER/KW-BG
'and': SKP
'gleamed': TKPWHRAOEPL/-D
'over': OEFR
'the': -T
'altar': AL/TAR
'upon': POPB
'the': -T
'shining': SHAOEUPBG
'clasps': KHRAS/-PS
'of': -F
'the': -T
'Bible,': PWAO*EUBL/KW-BG
'which': WEU
'lay': HRAEU
'open': OEP
'at': AT
'the': -T
'words': WORDZ
'of': -F
'the': -T
'prophet': PRO*FT
'Joel,': SKWROEL/KW-BG
'"Rend': KW-GS/KPA*/REPBD
'your': KWROUR
'hearts': HARTS
'and': SKP
'not': TPHOT
'your': KWROUR
'garments,': TKPWARPLTS/KW-BG
'and': SKP
'turn': TURPB
'unto': UPB/TO
'the': -T
'Lord."': HRO*RD/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'was': WAS
'just': SKWRUFT
'a': AEU
'chance,"': KHAPBS/KW-BG/KR-GS
'people': PAOEPL
'said;': SED/STPH*FPLT
'but': PWUT
'do': TKO
'things': THEUPBGS
'happen': HAP
'by': PWEU
'chance?': KHAPBS/H-F
'In': KPA/TPH
'the': -T
'face': TPAEUS
'of': -F
'Anne': A*EPB
'Lisbeth,': HR*P/*EU/S*/PW*/*ET/KW-BG
'lighted': HRAOEUTD
'up': UP
'by': PWEU
'the': -T
'evening': AOEPBG
'sun,': SUPB/KW-BG
'could': KO
'be': -B
'seen': SAOEPB
'peace': PAES
'and': SKP
'rest.': REFT/TP-PL
'She': KPA/SHE
'said': SED
'she': SHE
'was': WAS
'happy': HAEP
'now,': TPHOURBGS
'for': TPOR
'she': SHE
'had': H
'conquered.': KAUPB/KERD/TP-PL
'The': KPA/-T
'spectre': SPEBG/TER/A*U
'of': -F
'the': -T
'shore,': SHOR/KW-BG
'her': HER
'own': OEPB
'child,': KHAOEULD/KW-BG
'had': H
'come': KOPL
'to': TO
'her': HER
'the': -T
'night': TPHAOEUT
'before,': PW-FR/KW-BG
'and': SKP
'had': H
'said': SED
'to': TO
'her,': HER/KW-BG
'"Thou': KW-GS/KPA*/THO*U
'hast': H*/A*/S*/T*
'dug': TKUG
'me': PHE
'only': OEPBL
'half': HAF
'a': AEU
'grave:': TKPWRAEUF/STPH-FPLT
'but': PWUT
'thou': THO*U
'hast': H*/A*/S*/T*
'now,': TPHOURBGS
'for': TPOR
'a': AEU
'year': KWRAOER
'and': SKP
'a': AEU
'day,': TKAEU/KW-BG
'buried': PWUR/EUD
'me': PHE
'altogether': HR-GT
'in': TPH
'thy': THAO*EU
'heart,': HART/KW-BG
'and': SKP
'it': T
'is': S
'there': THR
'a': AEU
'mother': PHOER
'can': K
'best': PWEFT
'hide': HAOEUD
'her': HER
'child!"': KHAOEULD/SKHRAPL/KR-GS
'And': AFPBD
'then': THEPB
'he': HE
'gave': TKPWAEUF
'her': HER
'back': PWABG
'her': HER
'lost': HRO*S
'soul,': SOUL/KW-BG
'and': SKP
'brought': PWRAUT
'her': HER
'into': TPHAO
'the': -T
'church.': KHUFRPB/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'I': EU
'am': APL
'in': TPH
'the': -T
'house': HOUS
'of': -F
'God,"': TKPWO*D/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"and': KW-GS/SKP
'in': TPH
'that': THA
'house': HOUS
'we': WE
'are': R
'happy."': HAEP/TP-PL/KR-GS
'When': KPA/WHEPB
'the': -T
'sun': SUPB
'set,': SET/KW-BG
'Anne': A*EPB
'Lisbeth's': HR*P/*EU/S*/PW*/*ET/AES
'soul': SOUL
'had': H
'risen': REUFPB
'to': TO
'that': THA
'region': RAOEGS
'where': W-R
'there': THR
'is': S
'no': TPHO
'more': PHOR
'pain;': PAEUPB/STPH*FPLT
'and': SKP
'Anne': A*EPB
'Lisbeth's': HR*P/*EU/S*/PW*/*ET/AES
'troubles': TRUBLS
'were': WR
'at': AT
'an': APB
'end.': EPBD/TP-PL
