Cinderilla or the Little Glass Slipper

'were': WR
'transported': TR-PTD
'with': W
'joy;': SKWROEU/STPH*FPLT
'they': THE
'broke': PWROEBG
'above': PWOF
'a': AEU
'dozen': TKOZ
'of': -F
'laces': HRAEUS/-S
'in': TPH
'trying': TRAOEUG
'to': TO
'be': -B
'laced': HRAEUS/-D
'up': UP
'close,': KHROES/KW-BG
'that': THA
'they': THE
'might': PHAOEUT
'have': SR
'a': AEU
'fine': TPAOEUPB
'slender': SHRERPBD
'shape,': SHAEUP/KW-BG
'and': SKP
'they': THE
'were': WR
'continually': TAEPBL
'at': AT
'their': THAEUR
'looking-glass.': HRAOG/H-PB/TKPWHRAS/TP-PL
'At': KPA/AT
'last': HRAFT
'the': -T
'happy': HAEP
'day': TKAEU
'came;': KAEUPL/STPH*FPLT
'they': THE
'went': WEPBT
'to': TO
'Court,': KO*RT/KW-BG
'and': SKP
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'followed': TPOLD
'them': THEPL
'with': W
'her': HER
'eyes': AO*EUS
'as': AS
'long': HROPBG
'as': AS
'she': SHE
'could,': KO/KW-BG
'and': SKP
'when': WHEPB
'she': SHE
'had': H
'lost': HRO*S
'sight': SAOEUT
'of': -F
'them': THEPL
'she': SHE
'fell': TPEL
'a-crying.': AEU/H-PB/KRAOEUG/TP-PL
'Her': KPA/HER
'godmother,': TKPWOD/PHOER/KW-BG
'who': WHO
'saw': SAU
'her': HER
'all': AUL
'in': TPH
'tears,': TAERS/KW-BG
'asked': SK-D
'her': HER
'what': WHA
'was': WAS
'the': -T
'matter.': PHAERT/TP-PL
'"I': KW-GS/EU
'wish': WEURB
'I': EU
'could----,': KO/H-PB/H-PB/H-PB/H-PB/KW-BG
'I': EU
'wish': WEURB
'I': EU
'could--;"': KO/H-PB/H-PB/STPH*FPLT/KR-GS
'she': SHE
'was': WAS
'not': TPHOT
'able': ABL
'to': TO
'speak': SPAOEBG
'the': -T
'rest,': REFT/KW-BG
'being': -BG
'interrupted': EUPBT/RUPTD
'by': PWEU
'her': HER
'tears': TAERS
'and': SKP
'sobbing.': SOB/-G/TP-PL
'This': KPA/TH
'godmother': TKPWOD/PHOER
'of': -F
'hers,': HERS/KW-BG
'who': WHO
'was': WAS
'a': AEU
'Fairy,': KPA/TPAEUR/REU/KW-BG
'said': SED
'to': TO
'her:': HER/STPH-FPLT
'"Thou': KW-GS/KPA*/THO*U
'wishest': WEURB/EFT
'thou': THO*U
'couldest': KO/EFT
'go': TKPW
'to': TO
'the': -T
'ball,': PWAUL/KW-BG
'is': S
'it': T
'not': TPHOT
'so?"': SO/H-F/KR-GS
'"Y--es,"': KW-GS/KWR*P/H-PB/H-PB/ES/KW-BG/KR-GS
'cried': KRAOEUD
'Cinderilla,': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA/KW-BG
'with': W
'a': AEU
'great': TKPWRAET
'sigh.': SAOEU/TP-PL
'"Well,"': KW-GS/KPA*/WEL/KW-BG/KR-GS
'said': SED
'her': HER
'godmother,': TKPWOD/PHOER/KW-BG
'"be': KW-GS/-B
'but': PWUT
'a': AEU
'good': TKPWAOD
'girl,': TKPWEURL/KW-BG
'and': SKP
'I': EU
'will': HR
'contrive': KAUPB/TRAOEUF
'that': THA
'thou': THO*U
'shalt': SHALT
'go."': TKPW/TP-PL/KR-GS
'Then': KPA/THEPB
'she': SHE
'took': TAOBG
'her': HER
'into': TPHAO
'her': HER
'chamber,': KHAEURPL/KW-BG
'and': SKP
'said': SED
'to': TO
'her:': HER/STPH-FPLT
'"Run': KW-GS/KPA*/RUPB
'into': TPHAO
'the': -T
'garden,': TKPWA*RPB/KW-BG
'and': SKP
'bring': PWREU
'me': PHE
'a': AEU
'pumpkin."': PUPL/KEUPB/TP-PL/KR-GS
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'went': WEPBT
'immediately': PHAOELD
'to': TO
'gather': TKPWAER
'the': -T
'finest': TPAOEUPB/EFT
'she': SHE
'could': KO
'get,': TKPWET/KW-BG
'and': SKP
'brought': PWRAUT
'it': T
'to': TO
'her': HER
'godmother,': TKPWOD/PHOER/KW-BG
'not': TPHOT
'being': -BG
'able': ABL
'to': TO
'imagine': PHAPBLG
'how': HOU
'this': TH
'pumpkin': PUPL/KEUPB
'could': KO
'make': PHAEUBG
'her': HER
'go': TKPW
'to': TO
'the': -T
'ball.': PWAUL/TP-PL
'Her': KPA/HER
'godmother': TKPWOD/PHOER
'scooped': SKAOPD
'out': OUT
'all': AUL
'the': -T
'inside': TPH-DZ
'of': -F
'it,': T/KW-BG
'leaving': HREFG
'nothing': TPHOG
'but': PWUT
'the': -T
'rind;': RAOEUPBD/STPH*FPLT
'which': WEU
'done,': TKOPB/KW-BG
'she': SHE
'struck': STRUBG
'it': T
'with': W
'her': HER
'wand,': WAPBD/KW-BG
'and': SKP
'the': -T
'pumpkin': PUPL/KEUPB
'was': WAS
'instantly': EUPB/STAPBT/HREU
'turned': TURPBD
'into': TPHAO
'a': AEU
'fine': TPAOEUPB
'coach,': KOEFP/KW-BG
'gilded': TKPWEULD/-D
'all': AUL
'over': OEFR
'with': W
'gold.': TKPWOELD/TP-PL
'She': KPA/SHE
'then': THEPB
'went': WEPBT
'to': TO
'look': HRAOBG
'into': TPHAO
'her': HER
'mouse-trap,': PHOUS/H-PB/TRAP/KW-BG
'where': W-R
'she': SHE
'found': TPOUPBD
'six': SEUBGS
'mice': PHAOEUS
'all': AUL
'alive,': A/HRAOEUF/KW-BG
'and': SKP
'ordered': ORD/-D
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'to': TO
'lift': HREUFT
'up': UP
'a': AEU
'little': HREUL
'the': -T
'trap-door,': TRAP/TKAO*R/KW-BG
'when': WHEPB
'giving': TKPWEUFG
'each': AOEFP
'mouse,': PHOUS/KW-BG
'as': AS
'it': T
'went': WEPBT
'out,': OUT/KW-BG
'a': AEU
'little': HREUL
'tap': TAP
'with': W
'her': HER
'wand,': WAPBD/KW-BG
'the': -T
'mouse': PHOUS
'was': WAS
'at': AT
'that': THA
'moment': PHOEPLT
'turned': TURPBD
'into': TPHAO
'a': AEU
'fair': TPAEUR
'horse,': HORS/KW-BG
'which': WEU
'altogether': HR-GT
'made': PHAED
'a': AEU
'very': SRE
'fine': TPAOEUPB
'set': SET
'of': -F
'six': SEUBGS
'horses': HORSZ
'of': -F
'a': AEU
'beautiful': PWAOUFL
'mouse-coloured': PHOUS/H-PB/KHROURD
'dapple-grey.': TKAP/-L/H-PB/TKPWRA*EU/TP-PL
'Being': KPA/-BG
'at': AT
'a': AEU
'loss': HROS
'for': TPOR
'a': AEU
'coachman,': KOEFP/PHAPB/KW-BG
'"I': KW-GS/EU
'will': HR
'go': TKPW
'and': SKP
'see,"': SAOERBGS/KR-GS
'says': SEZ
'Cinderilla,': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA/KW-BG
'"if': KW-GS/TP
'there': THR
'be': -B
'never': TPHEFR
'a': AEU
'rat': RAT
'in': TPH
'the': -T
'rat-trap,': RAT/H-PB/TRAP/KW-BG
'that': THA
'we': WE
'may': PHAE
'make': PHAEUBG
'a': AEU
'coachman': KOEFP/PHAPB
'of': -F
'him."': HEUPL/TP-PL/KR-GS
'"Thou': KW-GS/KPA*/THO*U
'art': ART
'in': TPH
'the': -T
'right,"': RAOEUT/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'her': HER
'godmother;': TKPWOD/PHOER/STPH*FPLT
'"go': KW-GS/TKPW
'and': SKP
'look."': HRAOBG/TP-PL/KR-GS
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'brought': PWRAUT
'the': -T
'trap': TRAP
'to': TO
'her,': HER/KW-BG
'and': SKP
'in': TPH
'it': T
'there': THR
'were': WR
'three': THRAOE
'huge': HAOUPBLG
'rats.': RATS/TP-PL
'The': KPA/-T
'Fairy': KPA/TPAEUR/REU
'made': PHAED
'choice': KHOEUS
'of': -F
'one': WUPB
'of': -F
'the': -T
'three,': THRAOERBGS
'which': WEU
'had': H
'the': -T
'largest': HRARPBLG/EFT
'beard,': PWAERD/KW-BG
'and,': SKP/KW-BG
'having': SR-G
'touched': TUFPD
'him': HEUPL
'with': W
'her': HER
'wand,': WAPBD/KW-BG
'he': HE
'was': WAS
'turned': TURPBD
'into': TPHAO
'a': AEU
'fat': TPAT
'jolly': SKWROL/HREU
'coachman,': KOEFP/PHAPB/KW-BG
'who': WHO
'had': H
'the': -T
'smartest': SPHART/EFT
'whiskers': WHEUFBG/*ERS
'eyes': AO*EUS
'ever': -FR
'beheld.': PWE/HELD/TP-PL
'After': KPA/AF
'that,': THARBGS
'she': SHE
'said': SED
'to': TO
'her:': HER/STPH-FPLT
'"Go': KW-GS/KPA*/TKPW
'again': TKPWEPB
'into': TPHAO
'the': -T
'garden,': TKPWA*RPB/KW-BG
'and': SKP
'you': U
'will': HR
'find': TPAOEUPBD
'six': SEUBGS
'lizards': HREUZ/ARDZ
'behind': HEUPBD
'the': -T
'watering': WAURPBG
'pot;': POT/STPH*FPLT
'bring': PWREU
'them': THEPL
'to': TO
'me."': PHE/TP-PL/KR-GS
'She': KPA/SHE
'had': H
'no': TPHO
'sooner': SAORPB
'done': TKOPB
'so,': SO/KW-BG
'but': PWUT
'her': HER
'godmother': TKPWOD/PHOER
'turned': TURPBD
'them': THEPL
'into': TPHAO
'six': SEUBGS
'footmen,': TPAOT/PH*EPB/KW-BG
'who': WHO
'skipped': SKEUPD
'up': UP
'immediately': PHAOELD
'behind': HEUPBD
'the': -T
'coach,': KOEFP/KW-BG
'with': W
'their': THAEUR
'liveries': HREUFR/KWREU/-S
'all': AUL
'bedaubed': PWE/TKAUB/-D
'with': W
'gold': TKPWOELD
'and': SKP
'silver,': SEUL/SRER/KW-BG
'and': SKP
'clung': KHRUPBG
'as': AS
'close': KHROES
'behind': HEUPBD
'it,': T/KW-BG
'as': AS
'if': TP
'they': THE
'had': H
'done': TKOPB
'nothing': TPHOG
'else': ELS
'their': THAEUR
'whole': WHOEL
'lives.': HREUFS/TP-PL
'The': KPA/-T
'Fairy': KPA/TPAEUR/REU
'then': THEPB
'said': SED
'to': TO
'Cinderilla:': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA/STPH-FPLT
'"Well,': KW-GS/KPA*/WEL/KW-BG
'you': U
'see': SAOE
'here': HAOER
'an': APB
'equipage': KWEUP/APBLG
'fit': TPEUT
'to': TO
'go': TKPW
'to': TO
'the': -T
'ball': PWAUL
'with;': W/STPH*FPLT
'are': R
'you': U
'not': TPHOT
'pleased': PHREFD
'with': W
'it?"': T/H-F/KR-GS
'"O': KW-GS/O*P
'yes,"': KWRERBGS/KR-GS
'cried': KRAOEUD
'she,': SHE/KW-BG
'"but': KW-GS/PWUT
'must': PHUFT
'I': EU
'go': TKPW
'thither': TH*EURT
'as': AS
'I': EU
'am,': APL/KW-BG
'in': TPH
'these': THEZ
'poison': POEUGS
'nasty': TPHAS/TEU
'rags?"': RAG/-S/H-F/KR-GS
'Her': KPA/HER
'godmother': TKPWOD/PHOER
'only': OEPBL
'just': SKWRUFT
'touched': TUFPD
'her': HER
'with': W
'her': HER
'wand,': WAPBD/KW-BG
'and,': SKP/KW-BG
'at': AT
'the': -T
'same': SAEUPL
'instant,': STPHAPBT/KW-BG
'her': HER
'clothes': KHRO*ETS
'were': WR
'turned': TURPBD
'into': TPHAO
'cloth': KHRO*T
'of': -F
'gold': TKPWOELD
'and': SKP
'silver,': SEUL/SRER/KW-BG
'all': AUL
'beset': PWE/SET
'with': W
'jewels.': SKWRAOULS/TP-PL
'This': KPA/TH
'done': TKOPB
'she': SHE
'gave': TKPWAEUF
'her': HER
'a': AEU
'pair': PAEUR
'of': -F
'glass-slippers,': TKPWHRAS/H-PB/SHREUP/ERS/KW-BG
'the': -T
'prettiest': PRET/KWREFT
'in': TPH
'the': -T
'whole': WHOEL
'world.': WORLD/TP-PL
'doubt': TKOUT
'that': THA
'in': TPH
'the': -T
'medieval': PHED/AOEFL
'versions': SRERGS/-S
'of': -F
'this': TH
'ancient': AEURBT
'tale': TAEL
'Cinderilla': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA
'was': WAS
'given': TKPWEUFPB
'_pantoufles': RUPBD/P*/A*/TPH*/T*/O*/*U/TP*/*L/-S
'de': TK*E
'vair_--_i.e._,': SR*/A*/*EU/R*/RUPBD/H-PB/H-PB/RUPBD/*EU/TP-PL/*E/TP-PL/RUPBD/KW-BG
'of': -F
'a': AEU
'grey,': TKPWRA*EU/KW-BG
'or': OR
'grey': TKPWRA*EU
'and': SKP
'white,': WHAOEUT/KW-BG
'fur,': TPUR/KW-BG
'the': -T
'exact': SABGT
'nature': TPHAEURT
'of': -F
'which': WEU
'has': HAS
'been': PW-PB
'a': AEU
'matter': PHAERT
'of': -F
'controversy,': KROEFR/KW-BG
'but': PWUT
'which': WEU
'was': WAS
'probably': PROBL
'a': AEU
'grey': TKPWRA*EU
'squirrel.': SKWEURL/TP-PL
'Long': KPA/HROPBG
'before': PW-FR
'the': -T
'seventeenth': STPAOEPBT
'century': KROEURPBT
'the': -T
'word': WORD
'_vair_': RUPBD/SR*/A*/*EU/R*/RUPBD
'had': H
'passed': PAFD
'out': OUT
'of': -F
'use,': AOUS/KW-BG
'except': KPEPT
'as': AS
'a': AEU
'heraldic': HERLD/EUBG
'term,': TERPL/KW-BG
'and': SKP
'had': H
'ceased': SAOES/-D
'to': TO
'convey': KAUPB/SRAEU
'any': TPHEU
'meaning': PHAOEPBG
'to': TO
'the': -T
'people.': PAOEPL/TP-PL
'Thus': KPA/THUS
'the': -T
'_pantoufles': RUPBD/P*/A*/TPH*/T*/O*/*U/TP*/*L/-S
'de': TK*E
'vair_': SR*/A*/*EU/R*/RUPBD
'of': -F
'the': -T
'fairy': TPAEUR/REU
'tale': TAEL
'became,': PWAEUPL/KW-BG
'in': TPH
'the': -T
'oral': ORL
'tradition,': TRAGS/KW-BG
'the': -T
'homonymous': HO/PHO/TPHEUPL/OUS
'_pantoufles': RUPBD/P*/A*/TPH*/T*/O*/*U/TP*/*L/-S
'de': TK*E
'verre_,': SR*/*E/R*/R*/SKWR*E/RUPBD/KW-BG
'or': OR
