The Daisy
'box;': PWOBGS/STPH*FPLT
'they': THE
'wished': WEURBD
'to': TO
'bury': PWUR/REU
'it': T
'with': W
'royal': ROEUL
'honours.': HO*URPBS/A*U/TP-PL
'While': KPA/WHAOEUL
'it': T
'was': WAS
'alive': A/HRAOEUF
'and': SKP
'sang': SAPBG
'they': THE
'forgot': TPAURGT
'it,': T/KW-BG
'and': SKP
'let': HRET
'it': T
'suffer': SUFR
'want': WAPBT
'in': TPH
'the': -T
'cage;': KAEUPBLG/STPH*FPLT
'now,': TPHOURBGS
'they': THE
'cried': KRAOEUD
'over': OEFR
'it': T
'and': SKP
'covered': KOFRD
'it': T
'with': W
'flowers.': TPHRO*URS/TP-PL
'The': KPA/-T
'piece': PAOES
'of': -F
'turf,': T*UFR/KW-BG
'with': W
'the': -T
'little': HREUL
'daisy': TKAEU/SEU
'in': TPH
'it,': T/KW-BG
'was': WAS
'thrown': THROEPB
'out': OUT
'on': OPB
'the': -T
'dusty': TKUS/TEU
'highway.': HAOEU/WAEU/TP-PL
'Nobody': KPA/TPHOEB
'thought': THAUT
'of': -F
'the': -T
'flower': TPHRO*UR
'which': WEU
'had': H
'felt': TPELT
'so': SO
'much': PHUFP
'for': TPOR
'the': -T
'bird': PWEURD
'and': SKP
'had': H
'so': SO
'greatly': TKPWRAELT
'desired': STKAOEURD
'to': TO
'comfort': K-FRT
'it.': T/TP-PL
