A Haunted House

'years—"': KWRAOERS/EPL/TKA*RB/KR-GS
'he': HE
'sighs.': SAOEUS/TP-PL
'"Again': KW-GS/KPA*/TKPWEPB
'you': U
'found': TPOUPBD
'me."': PHE/TP-PL/KR-GS
'"Here,"': KW-GS/KPA*/HAOER/KW-BG/KR-GS
'she': SHE
'murmurs,': PHUR/PHURS/KW-BG
'"sleeping;': KW-GS/SHRAOEPG/STPH*FPLT
'in': TPH
'the': -T
'garden': TKPWA*RPB
'reading;': RAEGD/STPH*FPLT
'laughing,': HRAFG/KW-BG
'rolling': ROLG
'apples': APLS
'in': TPH
'the': -T
'loft.': HRO*FT/TP-PL
'Here': KPA/HAOER
'we': WE
'left': HREFT
'our': OUR
'treasure—"': TRERB/EPL/TKA*RB/KR-GS
'Stooping,': KPA/STAOPG/KW-BG
'their': THAEUR
'light': HRAOEUT
'lifts': HREUFTS
'the': -T
'lids': HREUDZ
'upon': POPB
'my': PHEU
'eyes.': AO*EUS/TP-PL
'"Safe!': KW-GS/KPA*/SAEUF/SKHRAPL
'safe!': SAEUF/SKHRAPL
'safe!"': SAEUF/SKHRAPL/KR-GS
'the': -T
'pulse': PULS
'of': -F
'the': -T
'house': HOUS
'beats': PWAOETS
'wildly.': WAOEULD/HREU/TP-PL
'Waking,': KPA/WAEUG/KW-BG
'I': EU
'cry': KRAOEU
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'is': S
'this': TH
'your': KWROUR
'buried': PWUR/EUD
'treasure?': TRERB/H-F
'The': KPA/-T
'light': HRAOEUT
'in': TPH
'the': -T
'heart."': HART/TP-PL/KR-GS
