Single-Stroke Briefs
'climate': KHRAOEUPLT
'clime': KHRAO*EUPL
'clinch': KHREUFRPB
'cling': KHREUPBG
'clinic': KHRAO*EPG
'clinical': KHR*EUL
'clinician': KHREUPBGS
'clink': KHR*EUPBG
'clip': KHREUP
'clipped': KHREUPD
'clipping': KHREUPG
'clique': KHRAOEBG
'cloak': KHROEBG
'clock': KHROBG
'clod': KHROD
'clog': KHROG
'clogged': KHROGD
'clomp': KHRO*PL
'clone': KHROEPB
'cloned': KHROEPBD
'cloning': KHROEPBG
'closed': KHROEFD
'closer': KHROERS
'closet': KHROFT
'closeup': KHRO*UP
'closure': KHRO*ERS
'clot': KHROT
'cloth': KHRO*T
'clotted': KHROTD
'clotting': KHROGT
'cloture': KHROEFP
'clout': KHROUT
'clove': KHROEF
'cloven': KHROEFPB
'clover': KHROEFR
'clown': KHROUPB
'cloy': KHROEU
'club': KHRUB
'cluck': KHRUBG
'clue': KHRAOU
'clump': KHRUFRP
'clung': KHRUPBG
'clunk': KHR*UPBG
'cluster': KHRUFRT
'clutch': KHRUFP
'clutter': KHRAOURT
'co-operate': KRO*PT
'coach': KOEFP
'coal': KOEL
'coast': KOEFT
'coat': KOET
'coax': KOEBGS
'cobble': KOBL
'cock': KOBG
'cod': KOD
'code': KOED
'coerce': KOERS
'coercion': KW*ERGS
'coffer': KOEFR
'coffin': KOFPB
'cog': KOG
'coif': KOEUF
'coil': KOEUL
'coin': KOEUPB
'coke': KOEBG
'col': KOL
'colder': KOERLD
'colic': KO*LG
'colitis': KHRAOEUTS
'collage': KHRAPBLG
'collagen': KHREPB
'collapse': KHRAPS
'collapsed': KHRAFD
'collar': KHRAR
'colleague': KHRAOEG
'collect': KHREBGT
'collection': KHREBGS
'collide': KHRAOEUD
'collision': KHREUGS
'colloid': KHROEUD
'collude': KHRAOUD
'collusion': KHRAOUGS
'colon': KHROPB
'colonel': KURPBL
'colonial': KHROEPBL
'colt': KOLT
'column': KHRUPL
'coma': KO*EUPL
'comb': KOEPL
'combat': KPWAT
'combination': KPWEUPBGS
'combine': KPWAOEUPB
'combined': KPWAOEUPBD
'combines': KPWAOEUPBS
'combining': KPWAOEUPBG
'comes': KOPLS
'comfort': K-FRT
'comfortably': KAEBL
'comforting': K-FRGT
'comic': KO*BG
'comma': KPHA
'command': KPHAPBD
'commence': KPHEPBS
'commend': KPHEPBD
'comment': KPHEPBT
'commerce': KPHERS
'commercial': KPHERBL
'commit': KPHEUT
'commitment': KPHUPLT
'commits': KPHEUTS
'committed': KPHEUTD
'committee': KPHAOE
'committing': KPHEUGT
'commode': KPHOED
'commodity': KPHOT
'common': KPHOPB
'commotion': KPHOEGS
'communal': KPHAOUPBL
'commune': KPHAOUPB
'communed': KPHAOUPBD
'communicate': KAEUBGT
'communication': KAEUBGS
'community': KPHUPBT
'commute': KPHAOUT
