A Society
'rate——"': RAEUT/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'Eleanor': EL/TPHOR
'began,': TKPWAPB/KW-BG
'quoting': KWOEGT
'from': TPR
'a': AEU
'weekly': WAOELG
'newspaper.': TPHAOUP/TP-PL
'"It's': KW-GS/KPA*/T-S
'now': TPHOU
'well': WEL
'known': TPHOEPB
'that': THA
'Sappho': SAF/SKWRO
'was': WAS
'the': -T
'somewhat': SWHA
'lewd': HRAOUD
'invention': EUPB/SREPBGS
'of': -F
'Professor': PRO*EFR
'Hobkin,"': H*P/O*/PW*/*BG/*EUPB/KW-BG/KR-GS
'Ruth': RAO*UT
'interrupted.': EUPBT/RUPTD/TP-PL
'"Anyhow,': KW-GS/KPA*/TPHEU/HOU/KW-BG
'there': THR
'is': S
'no': TPHO
'reason': R-PB
'to': TO
'suppose': SPOS
'that': THA
'any': TPHEU
'woman': WOPL
'ever': -FR
'has': HAS
'been': PW-PB
'able': ABL
'to': TO
'write': WREU
'or': OR
'ever': -FR
'will': HR
'be': -B
'able': ABL
'to': TO
'write,"': WREU/KW-BG/KR-GS
'Eleanor': EL/TPHOR
'continued.': T-PBD/TP-PL
'"And': KW-GS/AFPBD
'yet,': KWRET/KW-BG
'whenever': WHEFR
'I': EU
'go': TKPW
'among': PHOPBG
'authors': THOERS
'they': THE
'never': TPHEFR
'cease': SAOES
'to': TO
'talk': TAUBG
'to': TO
'me': PHE
'about': PW
'their': THAEUR
'books.': PWAOBGS/TP-PL
'Masterly!': KPA/PHAFRT/HREU/SKHRAPL
'I': EU
'say,': SAEU/KW-BG
'or': OR
'Shakespeare': SHAEUBG/SPAOER
'himself!': HEUPLS/SKHRAPL
'(for': PREPB/TPOR
'one': WUPB
'must': PHUFT
'say': SAEU
'something)': S-G/PR*EPB
'and': SKP
'I': EU
'assure': A/SHUR
'you,': U/KW-BG
'they': THE
'believe': PWHREF
'me."': PHE/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'proves': PROFS
'nothing,"': TPHOG/KW-BG/KR-GS
'said': SED
'Jane.': SKWRAEUPB/TP-PL
'"They': KW-GS/KPA*/THE
'all': AUL
'do': TKO
'it.': T/TP-PL
'Only,"': KPA/OEPBL/KW-BG/KR-GS
'she': SHE
'sighed,': SAOEU/-D/KW-BG
'"it': KW-GS/T
'doesn't': TKOPBT
'seem': SAOEPL
'to': TO
'help': HEP
'us': US
'much.': PHUFP/TP-PL
'Perhaps': KPA/PRAPS
'we': WE
'had': H
'better': PWOERT
'examine': KP
'modern': PHOERPB
'literature': HR*EUFP
'next.': TPHEGT/TP-PL
'Liz,': HREUZ/KW-BG
'it's': T-S
'your': KWROUR
'turn."': TURPB/TP-PL/KR-GS
'Elizabeth': HREUZ/PW*ET
'rose': ROEZ
'and': SKP
'said': SED
'that': THA
'in': TPH
'order': ORD
'to': TO
'prosecute': PR-T
'her': HER
'enquiry': EPB/KWAOEUR/KWREU
'she': SHE
'had': H
'dressed': TKREFD
'as': AS
'a': AEU
'man': PHAPB
'and': SKP
'been': PW-PB
'taken': TAEPB
'for': TPOR
'a': AEU
'reviewer.': RE/SRAOUR/TP-PL
'"I': KW-GS/EU
'have': SR
'read': RAED
'new': TPHU
'books': PWAOBGS
'pretty': PREUT
'steadily': STED/HREU
'for': TPOR
'the': -T
'past': PAFT
'five': TPAOEUF
'years,"': KWRAOERS/KW-BG/KR-GS
'said': SED
'she.': SHE/TP-PL
'"Mr.': KW-GS/PHR-FPLT
'Wells': KPA/WELS
'is': S
'the': -T
'most': PHOFT
'popular': PHRA*R
'living': HREUFG
'writer;': WRAOEUR/STPH*FPLT
'then': THEPB
'comes': KOPLS
'Mr.': PHR-FPLT
'Arnold': ARPBLD
'Bennett;': PWEPB/ET/STPH*FPLT
'then': THEPB
'Mr.': PHR-FPLT
'Compton': KOFRP/TOPB
'Mackenzie;': PHABG/KEPB/S*EU/STPH*FPLT
'Mr.': PHR-FPLT
'McKenna': PH-BG/KEPB/*PB/KWRA
'and': SKP
'Mr.': PHR-FPLT
'Walpole': W*P/A*L/*P/KWRO/*L
'may': PHAE
'be': -B
'bracketed': PWRABGT/-D
'together."': TOGT/TP-PL/KR-GS
'She': KPA/SHE
'sat': SAT
'down.': TKOUPB/TP-PL
'"But': KW-GS/KPA*/PWUT
'you've': UF
'told': TOLD
'us': US
'nothing!"': TPHOG/SKHRAPL/KR-GS
'we': WE
'expostulated.': EBGS/POFT/HRAEUT/-D/TP-PL
'"Or': KW-GS/KPA*/OR
'do': TKO
'you': U
'mean': PHAOEPB
'that': THA
'these': THEZ
'gentlemen': SKWR*EPL
'have': SR
'greatly': TKPWRAELT
'surpassed': SUR/PAS/-D
'Jane-Elliot': SKWRAEUPB/H-PB/EL/KWROT
'and': SKP
'that': THA
'English': TKPWHREURB
'fiction': TP*EUBGS
'is——where's': S/EPL/TKA*RB/EPL/TKA*RB/W-RS
'that': THA
'review': RE/SRAOU
'of': -F
'yours?': KWROURS/H-F
'Oh,': KPA/O*ERBGS/KW-BG
'yes,': KWRERBGS
''safe': A*E/SAEUF
'in': TPH
'their': THAEUR
'hands.'"': HAPBDZ/TP-PL/AE/KR-GS
'"Safe,': KW-GS/KPA*/SAEUF/KW-BG
'quite': KWAOEUT
'safe,"': SAEUF/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'shifting': SHEUFT/-G
'uneasily': UPB/AOELS
'from': TPR
'foot': TPAOT
'to': TO
'foot.': TPAOT/TP-PL
'"And': KW-GS/AFPBD
'I'm': AOEUPL
'sure': SHUR
'that': THA
'they': THE
'give': TKPWEUF
'away': WA*EU
'even': AOEPB
'more': PHOR
'than': THAPB
'they': THE
'receive."': SAOEF/TP-PL/KR-GS
'We': KPA/WE
'were': WR
'all': AUL
'sure': SHUR
'of': -F
'that.': THA/TP-PL
'"But,"': KW-GS/KPA*/PWUT/KW-BG/KR-GS
'we': WE
'pressed': PREFD
'her,': HER/KW-BG
'"do': KW-GS/TKO
'they': THE
'write': WREU
'good': TKPWAOD
'books?"': PWAOBGS/H-F/KR-GS
'"Good': KW-GS/KPA*/TKPWAOD
'books?"': PWAOBGS/H-F/KR-GS
'she': SHE
'said,': SED/KW-BG
'looking': HRAOG
'at': AT
'the': -T
'ceiling.': KAOELG/TP-PL
'"You': KW-GS/KPA*/U
'must': PHUFT
'remember,"': RER/KW-BG/KR-GS
'she': SHE
'began,': TKPWAPB/KW-BG
'speaking': SPAOEG
'with': W
'extreme': KPAO*EPL
'rapidity,': RAPD/TEU/KW-BG
'"that': KW-GS/THA
'fiction': TP*EUBGS
'is': S
'the': -T
'mirror': PHROR
'of': -F
'life.': HRAOEUF/TP-PL
'And': AFPBD
'you': U
'can't': K-PBT
'deny': TKOEUPB
'that': THA
'education': TKAEUBGS
'is': S
'of': -F
'the': -T
'highest': HAOEU/EFT
'importance,': PORPBS/KW-BG
'and': SKP
'that': THA
'it': T
'would': WO
'be': -B
'extremely': KPRAOEPL
'annoying,': TPHOEUG/KW-BG
'if': TP
'you': U
'found': TPOUPBD
'yourself': KWRO*URS
'alone': A/HROEPB
'at': AT
'Brighton': PWRAOEUT/O*PB
'late': HRAEUT
'at': AT
'night,': TPHAOEUT/KW-BG
'not': TPHOT
'to': TO
'know': TPHOE
'which': WEU
'was': WAS
'the': -T
'best': PWEFT
'boarding': PWAORGD
'house': HOUS
'to': TO
'stay': STAEU
'at,': AT/KW-BG
'and': SKP
'suppose': SPOS
'it': T
'was': WAS
'a': AEU
'dripping': TKREUPG
'Sunday': SUPBD
'evening—wouldn't': AOEPBG/EPL/TKA*RB/WOPBT
'it': T
'be': -B
'nice': TPHAOEUS
'to': TO
'go': TKPW
'to': TO
'the': -T
'Movies?"': KPA/PHOEFS/H-F/KR-GS
'"But': KW-GS/KPA*/PWUT
'what': WHA
'has': HAS
'that': THA
'got': TKPWOT
'to': TO
'do': TKO
'with': W
'it?"': T/H-F/KR-GS
'we': WE
'asked.': SK-D/TP-PL
'"Nothing—nothing—nothing': KW-GS/KPA*/TPHOG/EPL/TKA*RB/TPHOG/EPL/TKA*RB/TPHOG
'whatever,"': WHAF/KW-BG/KR-GS
'she': SHE
'replied.': RE/PHRAOEUD/TP-PL
'"Well,': KW-GS/KPA*/WEL/KW-BG
'tell': TEL
'us': US
'the': -T
'truth,"': TRAO*UT/KW-BG/KR-GS
'we': WE
'bade': PWAEUD
'her.': HER/TP-PL
'"The': KW-GS/KPA*/-T
'truth?': TRAO*UT/H-F
'But': KPA/PWUT
'isn't': S-PBT
'it': T
'wonderful,"': WUFL/KW-BG/KR-GS
'she': SHE
'broke': PWROEBG
'off—"Mr.': OF/EPL/TKA*RB/KR-GS/PHR-FPLT
'Chitter': KPA/KHEUT/*ER
'has': HAS
'written': WREUPB
'a': AEU
'weekly': WAOELG
'article': ARL
'for': TPOR
'the': -T
'past': PAFT
'thirty': THEURT
'years': KWRAOERS
'upon': POPB
'love': HRUF
'or': OR
'hot': HOT
'buttered': PWUT/ERD
'toast': TOEFT
'and': SKP
'has': HAS
'sent': SEPBT
'all': AUL
'his': HEUS
'sons': SOPBS
'to': TO
'Eton——"': AOET/O*PB/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'"The': KW-GS/KPA*/-T
'truth!"': TRAO*UT/SKHRAPL/KR-GS
'we': WE
'demanded.': TKPHAPBD/-D/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'the': -T
'truth,"': TRAO*UT/KW-BG/KR-GS
'she': SHE
'stammered,': STAPL/ERD/KW-BG
'"the': KW-GS/-T
'truth': TRAO*UT
'has': HAS
'nothing': TPHOG
'to': TO
'do': TKO
'with': W
'literature,"': HR*EUFP/KW-BG/KR-GS
'and': SKP
'sitting': SEUGT
'down': TKOUPB
'she': SHE
'refused': RAO*UFD
'to': TO
'say': SAEU
'another': TPHOER
'word.': WORD/TP-PL
'It': KPA/T
'all': AUL
'seemed': SAOEPLD
'to': TO
'us': US
'very': SRE
'inconclusive.': EUPB/KAUPB/KHRAOUS/EUF/TP-PL
'"Ladies,': KW-GS/KPA*/HRAEUDZ/KW-BG
'we': WE
'must': PHUFT
'try': TREU
'to': TO
'sum': SUPL
'up': UP
'the': -T
'results,"': RULTS/KW-BG/KR-GS
'Jane': SKWRAEUPB
'was': WAS
'beginning,': TKPWEUPB/-G/KW-BG
'when': WHEPB
'a': AEU
'hum,': HUPL/KW-BG
'which': WEU
'had': H
'been': PW-PB
'heard': HAERD
'for': TPOR
'some': SOPL
'time': TAOEUPL
'through': THRU
'the': -T
'open': OEP
'window,': WOEUPBD/KW-BG
'drowned': TKROUPBD
'her': HER
'voice.': SROEUS/TP-PL
'"War!': KW-GS/WA*R/SKHRAPL
'War!': WA*R/SKHRAPL
'War!': WA*R/SKHRAPL
'Declaration': KPA/TKEBG/HRAEUGS
'of': -F
'War!"': WA*R/SKHRAPL/KR-GS
'men': PHEPB
'were': WR
'shouting': SHOUGT
'in': TPH
'the': -T
'street': STRAOET
'below.': PWHRO/TP-PL
'We': KPA/WE
'looked': HRAOBGD
'at': AT
'each': AOEFP
'other': OER
'in': TPH
'horror.': HOR/O*R/TP-PL
'"What': KW-GS/KPA*/WHA
'war?"': WAR/H-F/KR-GS
'we': WE
'cried.': KRAOEUD/TP-PL
'"What': KW-GS/KPA*/WHA
'war?"': WAR/H-F/KR-GS
'We': KPA/WE
'remembered,': RERD/KW-BG
'too': TAO
'late,': HRAEUT/KW-BG
'that': THA
'we': WE
'had': H
'never': TPHEFR
'thought': THAUT
'of': -F
'sending': SEPBGD
'anyone': TPHEUPB
'to': TO
'the': -T
'House': KPA/HOUS
'of': -F
'Commons.': KPA/KPHOPBS/TP-PL
'We': KPA/WE
'had': H
'forgotten': TPAURGTD
'all': AUL
'about': PW
'it.': T/TP-PL
'We': KPA/WE
'turned': TURPBD
'to': TO
'Poll,': KPA/POL/KW-BG
'who': WHO
'had': H
'reached': RAOEFPD
'the': -T
'history': HEUFRT
'shelves': SHEFLS
'in': TPH
'the': -T
'London': HROPBD/OPB
'Library,': KPA/HRAOEURB/KW-BG
'and': SKP
'asked': SK-D
'her': HER
'to': TO
'enlighten': EPB/HRAOEUT/EPB
'us.': US/TP-PL
'"Why,"': KW-GS/KPA*/KWR/KW-BG/KR-GS
'we': WE
'cried,': KRAOEUD/KW-BG
'"do': KW-GS/TKO
'men': PHEPB
'go': TKPW
'to': TO
'war?"': WAR/H-F/KR-GS
'"Sometimes': KW-GS/KPA*/STAOEUPLS
'for': TPOR
'one': WUPB
'reason,': R-FPBLTS
'sometimes': STAOEUPLS
'for': TPOR
'another,"': TPHOER/KW-BG/KR-GS
'she': SHE
'replied': RE/PHRAOEUD
'calmly.': KAUPL/HREU/TP-PL
'"In': KW-GS/KPA*/TPH
'1760,': #S/#-P/#F/#O/KW-BG
'for': TPOR
'example——"': KP-PL/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'The': KPA/-T
'shouts': SHOUTS
'outside': OUDZ
'drowned': TKROUPBD
'her': HER
'words.': WORDZ/TP-PL
'"Again': KW-GS/KPA*/TKPWEPB
'in': TPH
'1797—in': #S/#-P/#-T/#-P/EPL/TKA*RB/TPH
'1804—It': #S/#L/#O/#H/EPL/TKA*RB/KPA*/T
'was': WAS
'the': -T
'Austrians': AUFRT/KWRAPB/-S
'in': TPH
'1866—1870': #S/#L/#F/#F/EPL/TKA*RB/#S/#L/#-P/#O
'was': WAS
'the': -T
'Franco-Prussian—In': TPRA*PBG/SKWRO/H-PB/PRUGS/EPL/TKA*RB/KPA*/TPH
'1900': 1-9/HUPBZ
'on': OPB
'the': -T
'other': OER
'hand——"': HAPBD/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'"But': KW-GS/KPA*/PWUT
'it's': T-S
'now': TPHOU
'1914!"': #S/#-T/#S/#H/SKHRAPL/KR-GS
'we': WE
'cut': KUT
'her': HER
'short.': SHORT/TP-PL
'"Ah,': KW-GS/KPA*/AERBGS
'I': EU
'don't': TKOEPBT
'know': TPHOE
'what': WHA
'they're': THER
'going': TKPW-G
'to': TO
'war': WAR
'for': TPOR
'now,"': TPHOURBGS/KR-GS
'she': SHE
'admitted.': AD/PHEUTD/TP-PL
'*': STA*R
'*': STA*R
'*': STA*R
'*': STA*R
'*': STA*R
'The': KPA/-T
'war': WAR
'was': WAS
'over': OEFR
'and': SKP
'peace': PAES
'was': WAS
'in': TPH
'process': PROEUS
'of': -F
'being': -BG
'signed,': SAOEUPBD/KW-BG
'when': WHEPB
'I': EU
'once': WUPBS
'more': PHOR
'found': TPOUPBD
'myself': PHAO*EUS
'with': W
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'in': TPH
'the': -T
'room': RAOPL
'where': W-R
'our': OUR
'meetings': PHAOEGTS
'used': AOUFD
'to': TO
'be': -B
'held.': HELD/TP-PL
'We': KPA/WE
'began': TKPWAPB
'idly': AOEUD/HREU
'turning': TURPBG
'over': OEFR
'the': -T
'pages': PAEUPBLGS
'of': -F
'our': OUR
'old': OLD
'minute': PHEUPB
'books.': PWAOBGS/TP-PL
'"Queer,"': KW-GS/KPA*/KWAOER/KW-BG/KR-GS
'I': EU
'mused,': PHAOUFD/KW-BG
'"to': KW-GS/TO
'see': SAOE
'what': WHA
'we': WE
'were': WR
'thinking': THEUG
'five': TPAOEUF
'years': KWRAOERS
'ago."': AG/TP-PL/KR-GS
'"We': KW-GS/KPA*/WE
'are': R
'agreed,"': TKPWRAED/KW-BG/KR-GS
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'quoted,': KWOETD/KW-BG
'reading': RAEGD
'over': OEFR
'my': PHEU
'shoulder,': SHOURLD/KW-BG
'"that': KW-GS/THA
'it': T
'is': S
'the': -T
'object': OBT
'of': -F
'life': HRAOEUF
'to': TO
'produce': PROU
'good': TKPWAOD
'people': PAOEPL
'and': SKP
'good': TKPWAOD
'books."': PWAOBGS/TP-PL/KR-GS
'We': KPA/WE
'made': PHAED
'no': TPHO
'comment': KPHEPBT
'upon': POPB
'that.': THA/TP-PL
'"A': KW-GS/KPA*/AEU
'good': TKPWAOD
'man': PHAPB
'is': S
'at': AT
'any': TPHEU
'rate': RAEUT
'honest,': HOPBS/KW-BG
'passionate': PAGS/A*T
'and': SKP
'unworldly."': UPB/WORLD/HREU/TP-PL/KR-GS
'"What': KW-GS/KPA*/WHA
'a': AEU
'woman's': WOPL/AES
'language!"': HRAPBLG/SKHRAPL/KR-GS
'I': EU
'observed.': OEBD/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'dear,"': TKAER/KW-BG/KR-GS
'cried': KRAOEUD
'Castalia,': KPA/KAFT/A*L/SKWREU/KWRA/KW-BG
'pushing': PURBG
'the': -T
'book': PWAOBG
'away': WA*EU
'from': TPR
'her,': HER/KW-BG
'"what': KW-GS/WHA
'fools': TPAOLS
'we': WE
'were!': WR/SKHRAPL
'It': KPA/T
'was': WAS
'all': AUL
'Poll's': KPA/POL/AES
'father's': TPAER/AES
'fault,"': TPAULT/KW-BG/KR-GS
'she': SHE
'went': WEPBT
'on.': OPB/TP-PL
'"I': KW-GS/EU
'believe': PWHREF
'he': HE
'did': TK
'it': T
'on': OPB
'purpose—that': PURP/EPL/TKA*RB/THA
'ridiculous': REULGS
'will,': HR-RBGS
'I': EU
'mean,': PHAOEPB/KW-BG
'forcing': TPORS/-G
'Poll': KPA/POL
'to': TO
'read': RAED
'all': AUL
'the': -T
'books': PWAOBGS
'in': TPH
'the': -T
'London': HROPBD/OPB
'Library.': KPA/HRAOEURB/TP-PL
'If': KPA/TP
'we': WE
'hadn't': H-PBT
'learnt': HRERPBT
'to': TO
'read,"': RAED/KW-BG/KR-GS
'she': SHE
'said': SED
'bitterly,': PWEURLT/KW-BG
'"we': KW-GS/WE
'might': PHAOEUT
'still': STEUL
'have': SR
'been': PW-PB
'bearing': PWAERG
'children': KHEURPB
'in': TPH
'ignorance': EUG/RAPBS
'and': SKP
'that': THA
'I': EU
'believe': PWHREF
'was': WAS
'the': -T
'happiest': HAP/KWREFT
'life': HRAOEUF
'after': AF
'all.': AUL/TP-PL
'I': EU
'know': TPHOE
'what': WHA
'you're': UR
'going': TKPW-G
'to': TO
'say': SAEU
'about': PW
'war,"': WAR/KW-BG/KR-GS
'she': SHE
'checked': KHEBGD
'me,': PHE/KW-BG
'"and': KW-GS/SKP
'the': -T
'horror': HOR/O*R
'of': -F
'bearing': PWAERG
'children': KHEURPB
'to': TO
'see': SAOE
'them': THEPL
'killed,': KEULD/KW-BG
'but': PWUT
'our': OUR
'mothers': PHOERS
'did': TK
'it,': T/KW-BG
'and': SKP
'their': THAEUR
'mothers,': PHOERS/KW-BG
'and': SKP
'their': THAEUR
'mothers': PHOERS
'before': PW-FR
'them.': THEPL/TP-PL
'And': AFPBD
'they': THE
'didn't': TK-PBT
'complain.': KPHRAEUPB/TP-PL
'They': KPA/THE
'couldn't': KOPBT
'read.': RAED/TP-PL
'I've': AOEUF
'done': TKOPB
'my': PHEU
'best,"': PWEFT/KW-BG/KR-GS
'she': SHE
'sighed,': SAOEU/-D/KW-BG
'"to': KW-GS/TO
'prevent': PREFPBT
'my': PHEU
'little': HREUL
'girl': TKPWEURL
'from': TPR
'learning': HRERPBG
'to': TO
'read,': RAED/KW-BG
'but': PWUT
'what's': WHATS
'the': -T
'use?': AOUS/H-F
'I': EU
'caught': KAUT
'Ann': AEPB
'only': OEPBL
'yesterday': KWRED
'with': W
'a': AEU
'newspaper': TPHAOUP
'in': TPH
'her': HER
'hand': HAPBD
'and': SKP
'she': SHE
'was': WAS
'beginning': TKPWEUPB/-G
'to': TO
'ask': SK
'me': PHE
'if': TP
'it': T
'was': WAS
''true.'': A*E/TRAOU/TP-PL/AE
'Next': KPA/TPHEGT
'she'll': SHAOEL
'ask': SK
'me': PHE
'whether': WHR
'Mr.': PHR-FPLT
'Lloyd': HROEUD
'George': SKWRORPBLG
'is': S
'a': AEU
'good': TKPWAOD
'man,': PHAPB/KW-BG
'then': THEPB
'whether': WHR
'Mr.': PHR-FPLT
'Arnold': ARPBLD
'Bennett': PWEPB/ET
'is': S
'a': AEU
'good': TKPWAOD
'novelist,': TPHOFL/EUFT/KW-BG
'and': SKP
'finally': TPHRAOEUPBL
'whether': WHR
'I': EU
'believe': PWHREF
'in': TPH
'God.': TKPWO*D/TP-PL
'How': KPA/HOU
'can': K
'I': EU
'bring': PWREU
'my': PHEU
'daughter': TKAUR
'up': UP
'to': TO
'believe': PWHREF
'in': TPH
'nothing?"': TPHOG/H-F/KR-GS
'she': SHE
'demanded.': TKPHAPBD/-D/TP-PL
'"Surely': KW-GS/KPA*/SHURL
'you': U
'could': KO
'teach': TAOEFP
'her': HER
'to': TO
'believe': PWHREF
'that': THA
'a': AEU
'man's': PHAPB/AES
'intellect': SPWHREBGT
'is,': S-RBGS
'and': SKP
'always': AULS
'will': HR
'be,': -B/KW-BG
'fundamentally': TP*UL/HREU
'superior': SPOEUR
'to': TO
'a': AEU
'woman's?"': WOPL/AES/H-F/KR-GS
'I': EU
'suggested.': SUGD/TP-PL
'She': KPA/SHE
'brightened': PWRAOEUT/*EPB/-D
'at': AT
'this': TH
'and': SKP
'began': TKPWAPB
'to': TO
'turn': TURPB
'over': OEFR
'our': OUR
'old': OLD
'minutes': PHEUPBS
'again.': TKPWEPB/TP-PL
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"think': KW-GS/THEU
'of': -F
'their': THAEUR
'discoveries,': SKOEFRS/KW-BG
'their': THAEUR
'mathematics,': PHA*T/PHABGS/KW-BG
'their': THAEUR
'science,': SKRAOEUPBS/KW-BG
'their': THAEUR
'philosophy,': TPEUFLS/KW-BG
'their': THAEUR
'scholarship——"': SKOL/SH-P/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'and': SKP
'then': THEPB
'she': SHE
'began': TKPWAPB
'to': TO
'laugh,': HRAF/KW-BG
'"I': KW-GS/EU
'shall': SHAL
'never': TPHEFR
'forget': TPORGT
'old': OLD
'Hobkin': H*P/O*/PW*/*BG/*EUPB
'and': SKP
'the': -T
'hairpin,"': HAEUR/*P/*EUPB/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'and': SKP
'went': WEPBT
'on': OPB
'reading': RAEGD
'and': SKP
'laughing': HRAFG
'and': SKP
'I': EU
'thought': THAUT
'she': SHE
'was': WAS
'quite': KWAOEUT
'happy,': HAEP/KW-BG
'when': WHEPB
'suddenly': SULD
'she': SHE
'drew': TKRAOU
'the': -T
'book': PWAOBG
'from': TPR
'her': HER
'and': SKP
'burst': PWUFRT
'out,': OUT/KW-BG
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'Cassandra,': KA/SAPBD/RA/KW-BG
'why': KWR
'do': TKO
'you': U
'torment': TORPLT
'me?': PHE/H-F
'Don't': KPA/TKOEPBT
'you': U
'know': TPHOE
'that': THA
'our': OUR
'belief': PWHRAOEF
'in': TPH
'man's': PHAPB/AES
'intellect': SPWHREBGT
'is': S
'the': -T
'greatest': TKPWRAET/EFT
'fallacy': TPAL/SEU
'of': -F
'them': THEPL
'all?"': AUL/H-F/KR-GS
'"What?"': KW-GS/KPA*/WHA/H-F/KR-GS
'I': EU
'exclaimed.': SKHRAEUPLD/TP-PL
'"Ask': KW-GS/KPA*/SK
'any': TPHEU
'journalist,': SKWRURPBL/EUFT/KW-BG
'schoolmaster,': S*/KR*/H*/O*/O*/HR*/PH*/A*/S*/T*/*ER/KW-BG
'politician': PHREUGS
'or': OR
'public': PHREUBG
'house': HOUS
'keeper': KAOEP/*ER
'in': TPH
'the': -T
'land': HRAPBD
'and': SKP
'they': THE
'will': HR
'all': AUL
'tell': TEL
'you': U
'that': THA
'men': PHEPB
'are': R
'much': PHUFP
'cleverer': KHR*EF/RER
'than': THAPB
'women."': WEUPL/TP-PL/KR-GS
'"As': KW-GS/KPA*/AS
'if': TP
'I': EU
'doubted': TKOUT/-D
'it,"': T/KW-BG/KR-GS
'she': SHE
'said': SED
'scornfully.': SKORPB/TPHREU/TP-PL
'"How': KW-GS/KPA*/HOU
'could': KO
'they': THE
'help': HEP
'it?': T/H-F
'Haven't': KPA/SR-PB
'we': WE
'bred': PWRED
'them': THEPL
'and': SKP
'fed': TPED
'and': SKP
'kept': KEPT
'them': THEPL
'in': TPH
'comfort': K-FRT
'since': SEUPBS
'the': -T
'beginning': TKPWEUPB/-G
'of': -F
'time': TAOEUPL
'so': SO
'that': THA
'they': THE
'may': PHAE
'be': -B
'clever': KHREFR
'even': AOEPB
'if': TP
'they're': THER
'nothing': TPHOG
'else?': ELS/H-F
'It's': KPA/T-S
'all': AUL
'our': OUR
'doing!"': TK*G/SKHRAPL/KR-GS
'she': SHE
'cried.': KRAOEUD/TP-PL
'"We': KW-GS/KPA*/WE
'insisted': EUPB/SEUFTD
'upon': POPB
'having': SR-G
'intellect': SPWHREBGT
'and': SKP
'now': TPHOU
'we've': WAOEF
'got': TKPWOT
'it.': T/TP-PL
'And': AFPBD
'it's': T-S
'intellect,"': SPWHREBGT/KW-BG/KR-GS
'she': SHE
'continued,': T-PBD/KW-BG
'"that's': KW-GS/THATS
'at': AT
'the': -T
'bottom': PWOPLT
'of': -F
'it.': T/TP-PL
'What': KPA/WHA
'could': KO
'be': -B
'more': PHOR
'charming': KHARPL/-G
'than': THAPB
'a': AEU
'boy': PWOEU
'before': PW-FR
'he': HE
'has': HAS
'begun': TKPWUPB
'to': TO
'cultivate': KULT/SRAEUT
'his': HEUS
'intellect?': SPWHREBGT/H-F
'He': KPA/HE
'is': S
'beautiful': PWAOUFL
'to': TO
'look': HRAOBG
'at;': AT/STPH*FPLT
'he': HE
'gives': TKPWEUFS
'himself': HEUPLS
'no': TPHO
'airs;': AEUR/-S/STPH*FPLT
'he': HE
'understands': URPBDZ
'the': -T
'meaning': PHAOEPBG
'of': -F
'art': ART
'and': SKP
'literature': HR*EUFP
'instinctively;': EUPB/STEUPBGT/EUFL/STPH*FPLT
'he': HE
'goes': TKPW-S
'about': PW
'enjoying': EPB/SKWROEUG
'his': HEUS
'life': HRAOEUF
'and': SKP
'making': PHAEUG
'other': OER
'people': PAOEPL
'enjoy': TPHOEUPBLG
'theirs.': THAEURS/TP-PL
'Then': KPA/THEPB
'they': THE
'teach': TAOEFP
'him': HEUPL
'to': TO
'cultivate': KULT/SRAEUT
'his': HEUS
'intellect.': SPWHREBGT/TP-PL
'He': KPA/HE
'becomes': PW-BGS
'a': AEU
'barrister,': PWAR/STER/KW-BG
'a': AEU
'civil': SEUFL
'servant,': SEFRB/APBT/KW-BG
'a': AEU
'general,': SKWREPBL/KW-BG
'an': APB
'author,': THOER/KW-BG
'a': AEU
'professor.': PROEFR/TP-PL
'Every': KPA/EF
'day': TKAEU
'he': HE
'goes': TKPW-S
'to': TO
'an': APB
'office.': OFS/TP-PL
'Every': KPA/EF
'year': KWRAOER
'he': HE
'produces': PROUS
'a': AEU
'book.': PWAOBG/TP-PL
'He': KPA/HE
'maintains': PHAEUPB/TAEUPBS
'a': AEU
'whole': WHOEL
'family': TPAEPL
'by': PWEU
'the': -T
'products': PROUBGZ
'of': -F
'his': HEUS
'brain—poor': PWRAEUPB/EPL/TKA*RB/PAOR
'devil!': TKEFL/SKHRAPL
'Soon': KPA/SAOPB
'he': HE
'cannot': SK-PBT
'come': KOPL
'into': TPHAO
'a': AEU
'room': RAOPL
'without': WOUT
'making': PHAEUG
'us': US
'all': AUL
'feel': TPAOEL
'uncomfortable;': TPH-BL/STPH*FPLT
'he': HE
'condescends': KOPBD/SEPBDZ
'to': TO
'every': EF
'woman': WOPL
'he': HE
'meets,': PHAOETS/KW-BG
'and': SKP
