A Society
'simplicity': SPHREUFT
'when': WHEPB
'I': EU
'tell': TEL
'you': U
'that': THA
'before': PW-FR
'parting': PART/-G
'that': THA
'night': TPHAOEUT
'we': WE
'agreed': TKPWRAED
'that': THA
'the': -T
'objects': OBS
'of': -F
'life': HRAOEUF
'were': WR
'to': TO
'produce': PROU
'good': TKPWAOD
'people': PAOEPL
'and': SKP
'good': TKPWAOD
'books.': PWAOBGS/TP-PL
'Our': KPA/OUR
'questions': KWES
'were': WR
'to': TO
'be': -B
'directed': TKREBGD
'to': TO
'finding': TPAOEUPBGD
'out': OUT
'how': HOU
'far': TPAR
'these': THEZ
'objects': OBS
'were': WR
'now': TPHOU
'attained': A/TAEUPBD
'by': PWEU
'men.': PHEPB/TP-PL
'We': KPA/WE
'vowed': SROUD
'solemnly': SOL/EPL/HREU
'that': THA
'we': WE
'would': WO
'not': TPHOT
'bear': PWAER
'a': AEU
'single': SEUPBLG
'child': KHAOEULD
'until': TPH-L
'we': WE
'were': WR
'satisfied.': SAED/TP-PL
'Off': KPA/OF
'we': WE
'went': WEPBT
'then,': THEPB/KW-BG
'some': SOPL
'to': TO
'the': -T
'British': PWREURB
'Museum;': KPA/PHAOUPL/STPH*FPLT
'others': OERS
'to': TO
'the': -T
'King's': KO*EUPBG/AES
'Navy;': TPHA*EF/STPH*FPLT
'some': SOPL
'to': TO
'Oxford;': OBGS/TPORD/STPH*FPLT
'others': OERS
'to': TO
'Cambridge;': KAPL/PWREUPBLG/STPH*FPLT
'we': WE
'visited': SREUFTD
'the': -T
'Royal': KPA/ROEUL
'Academy': KA*D/PHEU
'and': SKP
'the': -T
'Tate;': TAEUT/STPH*FPLT
'heard': HAERD
'modern': PHOERPB
'music': PHAOUFBG
'in': TPH
'concert': KERT
'rooms,': RAOPLS/KW-BG
'went': WEPBT
'to': TO
'the': -T
'Law': KPA/HRAU
'Courts,': KPA/KORTS/KW-BG
'and': SKP
'saw': SAU
'new': TPHU
'plays.': PHRAEUZ/TP-PL
'No': KPA/TPHO
'one': WUPB
'dined': TKAOEUPBD
'out': OUT
'without': WOUT
'asking': SK-G
'her': HER
'partner': PARPB
'certain': SERPB
'questions': KWES
'and': SKP
'carefully': KA*EUFL
'noting': TPHOEGT
'his': HEUS
'replies.': RE/PHRAOEUS/TP-PL
'At': KPA/AT
'intervals': EUPBT/SRALS
'we': WE
'met': PHET
'together': TOGT
'and': SKP
'compared': KPARD
'our': OUR
'observations.': OEBGS/-S/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'those': THOZ
'were': WR
'merry': PHER/REU
'meetings!': PHAOEGTS/SKHRAPL
'Never': KPA/TPHEFR
'have': SR
'I': EU
'laughed': HRAFD
'so': SO
'much': PHUFP
'as': AS
'I': EU
'did': TK
'when': WHEPB
'Rose': RO*ES
'read': RAED
'her': HER
'notes': TPHOETS
'upon': POPB
'"Honour"': KW-GS/KPA*/HO*RPB/A*U/KR-GS
'and': SKP
'described': KREUFD
'how': HOU
'she': SHE
'had': H
'dressed': TKREFD
'herself': H*ERS
'as': AS
'an': APB
'Æthiopian': *URP/A*RB/*T/SKWREU/KWRO/*P/SKWREU/KWRA/*PB
'Prince': PR*EUPBS
'and': SKP
'gone': TKPWOPB
'aboard': A/PWAORD
'one': WUPB
'of': -F
'His': KPA/HEUS
'Majesty's': KPA/PHAPBLG/STEU/AES
'ships.': SHEUPS/TP-PL
'Discovering': KPA/SKOFRG
'the': -T
'hoax,': HOEBGS/KW-BG
'the': -T
'Captain': KPA/KAPT
'visited': SREUFTD
'her': HER
'(now': PREPB/TPHOU
'disguised': STKPWAOEUFD
'as': AS
'a': AEU
'private': PRAOEUFT
'gentleman)': SKWRA*PL/PR*EPB
'and': SKP
'demanded': TKPHAPBD/-D
'that': THA
'honour': HO*RPB/A*U
'should': SHO
'be': -B
'satisfied.': SAED/TP-PL
'"But': KW-GS/KPA*/PWUT
'how?"': HOU/H-F/KR-GS
'she': SHE
'asked.': SK-D/TP-PL
'"How?"': KW-GS/KPA*/HOU/H-F/KR-GS
'he': HE
'bellowed.': PWEL/HROE/-D/TP-PL
'"With': KW-GS/KPA*/W
'the': -T
'cane': KAEUPB
'of': -F
'course!"': KORS/SKHRAPL/KR-GS
'Seeing': KPA/SAOEG
'that': THA
'he': HE
'was': WAS
'beside': PWE/SAOEUD
'himself': HEUPLS
'with': W
'rage': RAEUPBLG
'and': SKP
'expecting': EBGS/PEG
'that': THA
'her': HER
'last': HRAFT
'moment': PHOEPLT
'had': H
'come,': KOPL/KW-BG
'she': SHE
'bent': PWEPBT
'over': OEFR
'and': SKP
'received,': SAOEFD/KW-BG
'to': TO
'her': HER
'amazement,': A/PHAEUZ/*PLT/KW-BG
'six': SEUBGS
'light': HRAOEUT
'taps': TAPS
'upon': POPB
'the': -T
'behind.': HEUPBD/TP-PL
'"The': KW-GS/KPA*/-T
'honour': HO*RPB/A*U
'of': -F
'the': -T
'British': PWREURB
'Navy': TPHA*EF
'is': S
'avenged!"': A/SREPBG/-D/SKHRAPL/KR-GS
'he': HE
'cried,': KRAOEUD/KW-BG
'and,': SKP/KW-BG
'raising': RA*EUFG
'herself,': H*ERS/KW-BG
'she': SHE
'saw': SAU
'him': HEUPL
'with': W
'the': -T
'sweat': SWET
'pouring': PORG
'down': TKOUPB
'his': HEUS
'face': TPAEUS
'holding': HOELGD
'out': OUT
'a': AEU
'trembling': TREPL/-BLG
'right': RAOEUT
'hand.': HAPBD/TP-PL
'"Away!"': KW-GS/KPA*/WA*EU/SKHRAPL/KR-GS
'she': SHE
'exclaimed,': SKHRAEUPLD/KW-BG
'striking': STRAOEUG
'an': APB
'attitude': AT/TAOUD
'and': SKP
'imitating': EUPL/TAEUT/-G
'the': -T
'ferocity': TPER/OFT
'of': -F
'his': HEUS
'own': OEPB
'expression,': EBGS/PREGS/KW-BG
'"My': KW-GS/KPA*/PHEU
'honour': HO*RPB/A*U
'has': HAS
'still': STEUL
'to': TO
'be': -B
'satisfied!"': SAED/SKHRAPL/KR-GS
'"Spoken': KW-GS/KPA*/SPOEPB
'like': HRAOEUBG
'a': AEU
'gentleman!"': SKWRA*PL/SKHRAPL/KR-GS
'he': HE
'returned,': RURPBD/KW-BG
'and': SKP
'fell': TPEL
'into': TPHAO
'profound': PRO/TPOUPBD
'thought.': THAUT/TP-PL
'"If': KW-GS/KPA*/TP
'six': SEUBGS
'strokes': STROEBGS
'avenge': A/SREPBG
'the': -T
'honour': HO*RPB/A*U
'of': -F
'the': -T
'King's': KO*EUPBG/AES
'Navy,"': TPHA*EF/KW-BG/KR-GS
'he': HE
'mused,': PHAOUFD/KW-BG
'"how': KW-GS/HOU
'many': PHAEPB
'avenge': A/SREPBG
'the': -T
'honour': HO*RPB/A*U
'of': -F
'a': AEU
'private': PRAOEUFT
'gentleman?"': SKWRA*PL/H-F/KR-GS
'He': KPA/HE
'said': SED
'he': HE
'would': WO
'prefer': PREFR
'to': TO
'lay': HRAEU
'the': -T
'case': KAEUS
'before': PW-FR
'his': HEUS
'brother': PWROER
'officers.': OEUFRS/TP-PL
'She': KPA/SHE
'replied': RE/PHRAOEUD
'haughtily': HAUT/HREU
'that': THA
'she': SHE
'could': KO
'not': TPHOT
'wait.': WAEUT/TP-PL
'He': KPA/HE
'praised': PRA*EUFD
'her': HER
'sensibility.': SEPBS/-BLT/TP-PL
'"Let': KW-GS/KPA*/HRET
'me': PHE
'see,"': SAOERBGS/KR-GS
'he': HE
'cried': KRAOEUD
'suddenly,': SULD/KW-BG
'"did': KW-GS/TK
'your': KWROUR
'father': TPAER
'keep': KAOEP
'a': AEU
'carriage?"': KAEURPBLG/H-F/KR-GS
'"No,"': KW-GS/KPA*/TPHO/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'"Or': KW-GS/KPA*/OR
'a': AEU
'riding': RAOEUD/-G
'horse!"': HORS/SKHRAPL/KR-GS
'"We': KW-GS/KPA*/WE
'had': H
'a': AEU
'donkey,"': TKOPB/KEU/KW-BG/KR-GS
'she': SHE
'bethought': PWE/THAUT
'her,': HER/KW-BG
'"which': KW-GS/WEU
'drew': TKRAOU
'the': -T
'mowing': PHOEG
'machine."': PH-PB/TP-PL/KR-GS
'At': KPA/AT
'this': TH
'his': HEUS
'face': TPAEUS
'lighted.': HRAOEUTD/TP-PL
'"My': KW-GS/KPA*/PHEU
'mother's': PHOER/AES
'name——"': TPHAEUPL/EPL/TKA*RB/EPL/TKA*RB/KR-GS
'she': SHE
'added.': AD/-D/TP-PL
'"For': KW-GS/KPA*/TPOR
'God's': TKPWO*D/AES
'sake,': SAEUBG/KW-BG
'man,': PHAPB/KW-BG
'don't': TKOEPBT
'mention': PHEPBGS
'your': KWROUR
'mother's': PHOER/AES
'name!"': TPHAEUPL/SKHRAPL/KR-GS
'he': HE
'shrieked,': SHRAO*EBG/-D/KW-BG
'trembling': TREPL/-BLG
'like': HRAOEUBG
'an': APB
'aspen': HRO*ER/AS/PEPB
'and': SKP
'flushing': TPHRURBG
'to': TO
'the': -T
'roots': RAOTS
'of': -F
'his': HEUS
'hair,': HAEUR/KW-BG
'and': SKP
'it': T
'was': WAS
'ten': TEPB
'minutes': PHEUPBS
'at': AT
'least': HRAOEFT
'before': PW-FR
'she': SHE
'could': KO
'induce': EUPB/TKAOUS
'him': HEUPL
'to': TO
'proceed.': PROED/TP-PL
'At': KPA/AT
'length': HREPBG
'he': HE
'decreed': TKAOE/KRAOED
'that': THA
'if': TP
'she': SHE
'gave': TKPWAEUF
'him': HEUPL
'four': TPOUR
'strokes': STROEBGS
'and': SKP
'a': AEU
'half': HAF
'in': TPH
'the': -T
'small': SPHAL
'of': -F
'the': -T
'back': PWABG
'at': AT
'a': AEU
'spot': SPOT
'indicated': KA*EUTD
