Multi-syllable words with doubled consonant letters

'bonnet': PWOPB/ET
'lesser': HRERS
'assistant': SEUFPBT
'processes': PROEUSZ
'weariness': WAOER/REU/-PBS
'torrent': TORPBT
'kissing': KEUFG
'passionately': PAGS/AT/HREU
'nominally': TPHOPL/TPHAL/HREU
'accompanying': A/K-PG
'annoyance': A/TPHOEUPBS
'controlled': KROELD
'barrier': PWAR/KWRER
'politeness': PHRAOEUT/-PBS
'effectually': EFBG/KHUL/HREU
'discussing': STKUFG
'barrel': PWARL
'coolly': KAOL/HREU
'swimming': SWEUPLG
'impressive': EUPL/PREF
'universally': AOUPB/SRERS/HREU
'Emma': EPL/PHA
'impress': EUPL/PRES
'worshipped': WOR/SH-P/P-D
'shattered': SHAT/ERD
'sinner': SEUPB/ER
'dragging': TKRAG/-G
'interruption': SPWRUPGS
'hammer': HAERPL
'sorrowful': SOR/ROEFL
'fuller': TPUL/*ER
'associate': SOERBT
'expressive': EG/PRES/EUF
'scanning': SKAPBG
'settling': SELGT
'billion': PWOEUPB
'worthless': WO*RT/-L
'attentive': A/TEPBT/EUF
'differently': TKEUFRL
'happening': HAPG
'messages': PHEPBLGS
'Prussian': PRUGS
'unusually': TPHAOURBL
'depression': TKPREGS
'borrow': PWO*ER
'flattering': TPHRAT/ER/-G
'swelling': SWELG
'dissolved': TKEUS/SOFLD
'attribute': TR-BT
'messengers': PHAEPBG/-S
'Sabbath': SAB/A*T
'holiness': HOEUL/-PBS
'affliction': A/TPHREUBGS
'ally': AL/HREU
'rubbing': RUBG
'ribbon': REUB/O*PB
'essay': SA*E
'assuredly': A/SHURD/HREU
'suggests': SUGZ
'loneliness': HROPBL/-PBS
'dazzling': TKAZ/-LG
'efficiency': AOERB
'tranquillity': TRAPB/KWEULT/A*U
'Russians': R*UGS/-S
'approbation': ARP/PWAEUGS
'allegiance': A/HREPBLG/APBS
'expressly': EBGS/PRES/HREU
'collecting': KHREBGT/-G
'countless': KOUPBT/-LS
'associates': SOERBTS
'firmness': TPEURPL/-PBS
'loveliness': HROFL/-PBS
'communities': KPHAOUPBTS
'gladness': TKPWHRAD/-PBS
'Apollo': A/POL/HRO
'countess': KOUPBT/ES
'shuddered': SHUD/ERD
'banner': PWAERPB
