An Unwritten Novel

'shuddered,': SHUD/ERD/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'made': PHAED
'the': -T
'awkward': AUBG/WARD
'angular': APBG/HRAR
'movement': PHOFPLT
'that': THA
'I': EU
'had': H
'seen': SAOEPB
'before,': PW-FR/KW-BG
'as': AS
'if,': TP/KW-BG
'after': AF
'the': -T
'spasm,': SPAFPL/KW-BG
'some': SOPL
'spot': SPOT
'between': TWAOEPB
'the': -T
'shoulders': SHOURLDZ
'burnt': PWURPBT
'or': OR
'itched.': EUFP/-D/TP-PL
'Then': KPA/THEPB
'again': TKPWEPB
'she': SHE
'looked': HRAOBGD
'the': -T
'most': PHOFT
'unhappy': UPB/HAEP
'woman': WOPL
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'I': EU
'once': WUPBS
'more': PHOR
'reproached': RAOE/PROEFPD
'her,': HER/KW-BG
'though': THOE
'not': TPHOT
'with': W
'the': -T
'same': SAEUPL
'conviction,': K-FBGS/KW-BG
'for': TPOR
'if': TP
'there': THR
'were': WR
'a': AEU
'reason,': R-FPBLTS
'and': SKP
'if': TP
'I': EU
'knew': TPHAOU
'the': -T
'reason,': R-FPBLTS
'the': -T
'stigma': STEUG/PHA
'was': WAS
'removed': RE/PHOFD
'from': TPR
'life.': HRAOEUF/TP-PL
'"Sisters-in-law,"': KW-GS/KPA*/ST-RPBLS/KW-BG/KR-GS
'I': EU
'said—': SED/EPL/TKA*RB
'Her': KPA/HER
'lips': HREUPS
'pursed': PURS/-D
'as': AS
'if': TP
'to': TO
'spit': SPEUT
'venom': SREPB/OPL
'at': AT
'the': -T
'word;': WORD/STPH*FPLT
'pursed': PURS/-D
'they': THE
'remained.': RE/PHAEUPBD/TP-PL
'All': KPA/AUL
'she': SHE
'did': TK
'was': WAS
'to': TO
'take': TAEUBG
'her': HER
'glove': TKPWHROF
'and': SKP
'rub': RUB
'hard': HARD
'at': AT
'a': AEU
'spot': SPOT
'on': OPB
'the': -T
'window-pane.': WOEUPBD/H-PB/PAEPB/TP-PL
'She': KPA/SHE
'rubbed': RUBD
'as': AS
'if': TP
'she': SHE
'would': WO
'rub': RUB
'something': S-G
'out': OUT
'for': TPOR
'ever—some': -FR/EPL/TKA*RB/SOPL
'stain,': STAEUPB/KW-BG
'some': SOPL
'indelible': EUPB/TKEL/-BL
'contamination.': KAUPB/TAPL/TPHAEGS/TP-PL
'Indeed,': KPA/TPHAOEPBD/KW-BG
'the': -T
'spot': SPOT
'remained': RE/PHAEUPBD
'for': TPOR
'all': AUL
'her': HER
'rubbing,': RUBG/KW-BG
'and': SKP
'back': PWABG
'she': SHE
'sank': SA*PBG
'with': W
'the': -T
'shudder': SHUD/ER
'and': SKP
'the': -T
'clutch': KHRUFP
'of': -F
'the': -T
'arm': ARPL
'I': EU
'had': H
'come': KOPL
'to': TO
'expect.': KP-PT/TP-PL
'Something': KPA/S-G
'impelled': EUPL/PELD
'me': PHE
'to': TO
'take': TAEUBG
'my': PHEU
'glove': TKPWHROF
'and': SKP
'rub': RUB
'my': PHEU
'window.': WOEUPBD/TP-PL
'There,': KPA/THR/KW-BG
'too,': TAO/KW-BG
'was': WAS
'a': AEU
'little': HREUL
'speck': SPEBG
'on': OPB
'the': -T
'glass.': TKPWHRAS/TP-PL
'For': KPA/TPOR
'all': AUL
'my': PHEU
'rubbing': RUBG
'it': T
'remained.': RE/PHAEUPBD/TP-PL
'And': AFPBD
'then': THEPB
'the': -T
'spasm': SPAFPL
'went': WEPBT
'through': THRU
'me;': PHE/STPH*FPLT
'I': EU
'crooked': KRAOBGD
