The Mark on the Wall

'Perhaps': KPA/PRAPS
'this:': TH/STPH-FPLT
'"And': KW-GS/AFPBD
'then': THEPB
'I': EU
'came': KAEUPL
'into': TPHAO
'the': -T
'room.': RAOPL/TP-PL
'They': KPA/THE
'were': WR
'discussing': STKUFG
'botany.': PWOT/TPHEU/TP-PL
'I': EU
'said': SED
'how': HOU
'I'd': AOEUD
'seen': SAOEPB
'a': AEU
'flower': TPHRO*UR
'growing': TKPWROEG
'on': OPB
'a': AEU
'dust': TKUFT
'heap': HAOEP
'on': OPB
'the': -T
'site': SAO*EUT
'of': -F
'an': APB
'old': OLD
'house': HOUS
'in': TPH
'Kingsway.': K*P/*EU/TPH*/TKPW*/S*/W*/KWRA*E/TP-PL
'The': KPA/-T
'seed,': SAOED/KW-BG
'I': EU
'said,': SED/KW-BG
'must': PHUFT
'have': SR
'been': PW-PB
'sown': SOEPB
'in': TPH
'the': -T
'reign': RAEPB
'of': -F
'Charles': KHARLS
'the': -T
'First.': KPA/TPEUFRT/TP-PL
'What': KPA/WHA
'flowers': TPHRO*URS
'grew': TKPWRAOU
'in': TPH
'the': -T
'reign': RAEPB
'of': -F
'Charles': KHARLS
'the': -T
'First?"': KPA/TPEUFRT/H-F/KR-GS
'I': EU
'asked—(but': SK-D/EPL/TKA*RB/PREPB/PWUT
'I': EU
'don't': TKOEPBT
'remember': RER
'the': -T
'answer).': AEPBS/PR*EPB/TP-PL
'Tall': KPA/TAUL
'flowers': TPHRO*URS
'with': W
'purple': PURPL
'tassels': TAFL/-S
'to': TO
'them': THEPL
'perhaps.': PRAPS/TP-PL
'And': AFPBD
'so': SO
'it': T
'goes': TKPW-S
'on.': OPB/TP-PL
'All': KPA/AUL
'the': -T
'time': TAOEUPL
'I'm': AOEUPL
'dressing': TKREFG
'up': UP
'the': -T
'figure': TPEUG
'of': -F
'myself': PHAO*EUS
'in': TPH
'my': PHEU
'own': OEPB
'mind,': PHAOEUPBD/KW-BG
'lovingly,': HR*UF/TKPWHREU/KW-BG
'stealthily,': ST*ELT/HREU/KW-BG
'not': TPHOT
'openly': OEP/HREU
'adoring': A/TKORG
'it,': T/KW-BG
'for': TPOR
'if': TP
'I': EU
'did': TK
'that,': THARBGS
'I': EU
'should': SHO
'catch': KAFP
'myself': PHAO*EUS
'out,': OUT/KW-BG
'and': SKP
'stretch': STREFP
'my': PHEU
'hand': HAPBD
'at': AT
'once': WUPBS
'for': TPOR
'a': AEU
'book': PWAOBG
'in': TPH
'self-protection.': SEF/PREBGS/TP-PL
'Indeed,': KPA/TPHAOEPBD/KW-BG
'it': T
'is': S
'curious': KAOURS
'how': HOU
'instinctively': EUPB/STEUPBGT/EUFL
'one': WUPB
'protects': PREBGZ
'the': -T
'image': EUPBLG
'of': -F
'oneself': WUPB/SEFL
'from': TPR
'idolatry': AOEUD/OL/TREU
'or': OR
'any': TPHEU
'other': OER
'handling': HAPBLG
'that': THA
'could': KO
'make': PHAEUBG
'it': T
'ridiculous,': REULGS/KW-BG
'or': OR
'too': TAO
'unlike': UPB/HRAOEUBG
'the': -T
'original': ORPBLG
'to': TO
'be': -B
'believed': PWHREFD
'in': TPH
'any': TPHEU
'longer.': HRORPBG/TP-PL
'Or': KPA/OR
'is': S
'it': T
'not': TPHOT
'so': SO
'very': SRE
'curious': KAOURS
'after': AF
'all?': AUL/H-F
'It': KPA/T
'is': S
'a': AEU
'matter': PHAERT
'of': -F
'great': TKPWRAET
'importance.': PORPBS/TP-PL
'Suppose': KPA/SPOS
'the': -T
'looking': HRAOG
'glass': TKPWHRAS
'smashes,': SPHARBS/KW-BG
'the': -T
'image': EUPBLG
'disappears,': TKEUS/PAOERS/KW-BG
'and': SKP
'the': -T
'romantic': RO/PHAPBT/EUBG
'figure': TPEUG
'with': W
'the': -T
'green': TKPWRAOEPB
'of': -F
'forest': TPOEFRT
'depths': TK*EPTS
'all': AUL
'about': PW
'it': T
'is': S
'there': THR
'no': TPHO
'longer,': HRORPBG/KW-BG
'but': PWUT
'only': OEPBL
'that': THA
'shell': SHEL
'of': -F
'a': AEU
'person': PERPB
'which': WEU
'is': S
'seen': SAOEPB
'by': PWEU
'other': OER
'people—what': PAOEPL/EPL/TKA*RB/WHA
'an': APB
'airless,': AEUR/-LS/KW-BG
'shallow,': SHOEUL/KW-BG
'bald,': PWAULD/KW-BG
'prominent': PROPL/TPHEPBT
'world': WORLD
'it': T
'becomes!': PW-BGS/SKHRAPL
'A': KPA/AEU
